number,duration,params_learning_rate,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_lambda
41,0 days 00:00:02.868081,0.004213363436286674,0.04719154747047618,159,46,0.5368890017322477
42,0 days 00:00:00.402956,0.02194640053246082,0.014688649560064992,29,29,0.012347377053844045
43,0 days 00:00:00.742544,0.022654315018509858,2.106258410947916,47,24,0.061952087315784894
44,0 days 00:00:00.184443,0.005617817190098427,0.007810767607724113,79,54,172.046629490416
45,0 days 00:00:01.252316,0.006750547678425871,131.55061330840442,422,25,37.794033477111924
46,0 days 00:00:01.409272,0.0024380325393670984,0.04555389244568892,151,19,0.051052070780216695
47,0 days 00:00:00.192852,0.030548967102651006,590.8702498835229,393,59,3.8156530220759057
48,0 days 00:00:01.315904,0.056852171674145024,0.12300614906880541,126,22,0.11234914260955295
49,0 days 00:00:00.477445,0.016519155089025118,0.10609895834552863,105,39,274.0748098439232
50,0 days 00:00:01.548699,0.007912293473441231,2.597108980241343,110,28,0.07728094036052648
51,0 days 00:00:01.505186,0.012520569172245961,9.408073547742028,390,7,0.00683110113191713
52,0 days 00:00:00.046860,0.00190029514399619,400.56527267288016,28,39,0.01956712574371199
53,0 days 00:00:00.580887,0.006036713712398799,59.873443202887,83,48,0.10947882674770186
54,0 days 00:00:01.519323,0.002777622663238432,84.60775315037937,353,60,0.3935663173022557
55,0 days 00:00:00.144807,0.0036795089060496396,83.55703403217778,86,2,2.788048845320924
56,0 days 00:00:00.585256,0.003700759727480193,0.0013182525246500708,23,54,0.6541697006429972
57,0 days 00:00:00.281148,0.001802088336112423,0.016693838999653446,34,18,2.8480780864368014
58,0 days 00:00:02.060866,0.0068567076442479875,0.010179803305027685,102,60,1.4506234886268996
59,0 days 00:00:00.228424,0.09271337436939123,42.12664558893556,38,16,17.030258192162695
60,0 days 00:00:00.279439,0.09076091535337164,75.90496374592848,49,56,1.2309287924625374
61,0 days 00:00:01.058620,0.0014676313688451964,0.37453642259947095,178,37,59.52853334279777
62,0 days 00:00:00.409165,0.03896119147499495,2.743703875327858,23,40,2.6695016961333575
63,0 days 00:00:05.105402,0.03101347287077472,0.06413379263880653,226,45,0.0052075552412055096
64,0 days 00:00:00.300946,0.0013276089386333656,0.91205106283171,23,26,0.016489711748729638
65,0 days 00:00:00.802694,0.021781454361711618,4.83053343092085,44,38,0.17322555082332872
66,0 days 00:00:02.950427,0.01404478647473899,40.7910930869182,351,22,0.08465535572657111
67,0 days 00:00:00.609791,0.09778903261815919,1.4858981319119946,20,61,0.004425721371129868
68,0 days 00:00:00.623307,0.0019527770542985782,26.166484252428607,212,39,664.7833281415849
69,0 days 00:00:00.263941,0.03622161300433043,57.763493391852755,43,49,1.4393253155062784
70,0 days 00:00:01.263674,0.028575563497256044,93.14996191331763,331,24,98.21710174424227
71,0 days 00:00:01.346330,0.0015974291518737012,3.1130568558556817,40,62,0.021597503661988534
72,0 days 00:00:07.526741,0.006658765745927283,10.985712689088023,367,39,0.17748639979114536
73,0 days 00:00:00.267108,0.0032725011703889253,39.42413123158044,38,22,11.482021743097574
74,0 days 00:00:00.284069,0.04165893808204004,17.80825518018472,35,12,0.021857736321628983
75,0 days 00:00:00.465590,0.012784698026837828,259.76654334220643,237,40,0.07503698891878433
76,0 days 00:00:05.764843,0.006122548706813145,0.0013675700134160751,272,38,1.830995076699756
77,0 days 00:00:01.957099,0.002852730365492099,9.363182801526444,102,31,0.002085825308211044
78,0 days 00:00:02.245882,0.012171202933936583,14.534424319320525,203,38,21.109387810690702
79,0 days 00:00:00.214063,0.0046738349493441154,38.74233566976025,44,37,94.51575299119887
80,0 days 00:00:00.849555,0.06738713377428744,2.0511774094331483,39,42,0.07139947293522976
81,0 days 00:00:00.065736,0.055086625673055306,487.6217007845198,44,23,0.012110921823803971
82,0 days 00:00:00.059470,0.027333361279495608,1.002095578064864,36,4,0.002393215542897986
83,0 days 00:00:01.632757,0.06462750991965144,2.1244082393634205,65,53,0.5488058941499674
84,0 days 00:00:03.999297,0.07271760364116171,0.5489459616248576,479,17,0.5302692494514466
85,0 days 00:00:00.757144,0.00926694493014533,0.11821712697026818,77,38,24.363995144817867
86,0 days 00:00:00.774038,0.0033835749530083514,0.026918446489882546,179,52,146.22110987610054
87,0 days 00:00:00.114805,0.0034942228726686786,0.41388567708015284,23,36,134.14401785572844
88,0 days 00:00:00.976847,0.06623746907961837,0.020561748125275107,111,16,74.59183238854813
89,0 days 00:00:00.719983,0.0032071564047087384,0.07746841481574149,83,22,13.08689083624849
90,0 days 00:00:02.433480,0.014820098108614253,0.3608307212813506,204,26,0.1404668512532399
91,0 days 00:00:00.207900,0.013138572312671513,256.06616986636,112,61,0.001819642363514193
92,0 days 00:00:00.940042,0.003075311184497457,0.7550650457872982,368,20,584.785125386299
93,0 days 00:00:05.089055,0.06122481601619818,0.5644552107806295,326,28,21.498388289279042
94,0 days 00:00:00.419906,0.014800777314633024,200.35464546020688,163,52,1.1323277097524955
95,0 days 00:00:01.476638,0.0667897042461077,5.380246524345402,257,12,153.44175258084633
96,0 days 00:00:00.130843,0.0018501928068612526,358.54958850959014,96,15,0.04799121446480702
97,0 days 00:00:07.020984,0.0030420337426409717,0.0022374001972356177,188,59,0.008342010470934302
98,0 days 00:00:08.052972,0.022680423587627768,4.736076798063084,471,37,36.310452560806056
99,0 days 00:00:03.119023,0.003677806164085996,3.029439413703752,369,16,0.04575957701194141
100,0 days 00:00:00.997019,0.003675758040304694,0.008301419380259053,190,9,0.007164746953134843
101,0 days 00:00:00.116279,0.00169633046069028,0.0014034209682886683,28,6,178.57802900111372
102,0 days 00:00:01.336252,0.002081187329281809,0.015512184888399762,326,39,535.2945501105222
103,0 days 00:00:01.725147,0.004665365237002867,38.78952498113708,174,61,2.075344908113931
104,0 days 00:00:00.354674,0.03387987443240878,0.001456282403547018,72,7,6.80271980750946
105,0 days 00:00:00.149655,0.0011508330881381064,0.0021043954219260564,35,7,0.02167576736806068
106,0 days 00:00:00.938497,0.0011953024014949426,1.0433936675089288,59,24,0.49042667427802494
107,0 days 00:00:00.034604,0.0010890416274334774,719.5397437974557,29,45,15.223808215868011
108,0 days 00:00:00.108148,0.08046517963948144,0.02846319293267418,26,6,852.6533315948443
109,0 days 00:00:02.401696,0.001906976234064001,0.7241368241363716,393,10,0.41035194124222557
110,0 days 00:00:00.135785,0.01405234552459565,218.7877166060576,47,6,0.02411703060376495
111,0 days 00:00:03.201703,0.004744808782469553,4.319169587416114,206,27,0.00890240806213198
112,0 days 00:00:00.421806,0.00657434407339151,16.387886086282656,23,29,0.05127248642930819
113,0 days 00:00:00.183434,0.002543341248551969,970.288551470735,214,46,869.150805215422
114,0 days 00:00:00.508165,0.0013530281916753733,34.65541352111416,47,26,1.5024502860616784
115,0 days 00:00:00.138262,0.0021714101112962603,0.007889501053061238,43,4,949.6464969937723
116,0 days 00:00:00.177582,0.004345550871727827,61.481076820777055,30,24,57.515982238908954
117,0 days 00:00:03.103952,0.010313742146648874,0.0544178696423262,177,27,0.006728968851425048
118,0 days 00:00:00.147401,0.0075183123908152405,0.3641278774941148,31,8,0.06397919560381121
119,0 days 00:00:00.131419,0.007547289073143597,1.7841636108367593,36,32,766.8680827241953
120,0 days 00:00:00.669953,0.06719419853018352,0.0013974586756896755,96,29,324.9142202084976
121,0 days 00:00:02.053705,0.006036948327479818,0.09101363951581122,66,50,0.20763805812504163
122,0 days 00:00:00.276395,0.0018044741360513032,6.0895458801718085,43,55,739.5830827042793
123,0 days 00:00:00.135407,0.0011051586217271042,207.3260443442562,32,10,0.08352556054064435
124,0 days 00:00:00.073222,0.01078944834768467,728.7453844356298,50,30,5.630987852613179
125,0 days 00:00:00.716844,0.0032884225769893704,30.794437091218,60,54,2.4292138107183288
126,0 days 00:00:02.474931,0.0021994806601922916,0.01765763588533345,490,29,203.57012513271255
127,0 days 00:00:01.279055,0.010394251080301406,0.07134613246780316,175,35,147.93673196006898
128,0 days 00:00:00.270690,0.06670515095211176,18.989102281946348,68,14,427.3908076892427
129,0 days 00:00:01.506820,0.0149264531333972,0.0014894242850251893,97,37,10.617115503582403
130,0 days 00:00:00.456702,0.0011690509466859497,0.04242028772705522,78,29,214.36016926008332
131,0 days 00:00:01.061040,0.034229668051542574,0.033952099708383005,116,15,0.4540174265445343
132,0 days 00:00:00.220016,0.0034755820863673066,1.0384280406760884,81,40,519.455240200938
133,0 days 00:00:01.042035,0.033895772424497726,17.695297839164276,63,55,0.5087670906854391
134,0 days 00:00:00.416636,0.01360256773865614,0.0028014569672805576,81,9,9.8736020193119
135,0 days 00:00:01.304630,0.013184646206159228,3.0963551851305273,57,41,0.5432228946931968
136,0 days 00:00:00.166680,0.09093920929188068,0.7508570706463306,29,12,51.67209951472925
137,0 days 00:00:00.054437,0.06987464870626901,262.6148410721667,22,31,1.2938923870512544
138,0 days 00:00:03.044988,0.00943751500261057,0.9743252192663329,107,56,0.04952659773602786
139,0 days 00:00:00.513386,0.007502271912508308,0.062486856512221654,127,25,528.9573211939354
140,0 days 00:00:01.771689,0.05331882908909513,5.405742438481387,70,52,0.1589128866616895
141,0 days 00:00:03.239355,0.016299395174803995,0.12866729612073236,462,39,172.0834313800467
142,0 days 00:00:01.401938,0.010385745977616464,0.0012545056907520174,57,46,0.0019726124547073376
143,0 days 00:00:01.867481,0.003568639090451557,0.0025667294285343363,142,23,7.850414647504615
144,0 days 00:00:00.342815,0.0011343697508940217,0.032973882507355716,86,34,176.06966827658064
145,0 days 00:00:00.839267,0.053057788935687945,0.028433975761318012,38,42,0.013928837127565334
146,0 days 00:00:00.108910,0.03385634220451008,0.5586115531646832,23,25,280.8756257670364
147,0 days 00:00:00.250774,0.07095184248628311,188.52031629366573,81,40,0.36151576181588385
148,0 days 00:00:02.734457,0.0023813651984263577,0.023534910005536713,83,60,0.001845405066680974
149,0 days 00:00:00.199448,0.01297420680343203,0.016163771871948725,23,40,47.182270976682695
150,0 days 00:00:00.484250,0.002177977146034683,118.01560543478223,147,36,0.9183398580183458
151,0 days 00:00:00.514118,0.002104900900529674,0.2522599670103317,38,22,0.15021042240905375
152,0 days 00:00:02.300630,0.008572932820975897,0.08941368117137367,81,55,0.20334658911338213
153,0 days 00:00:00.107176,0.04914104419865385,422.4240647078471,64,17,0.377952876447619
154,0 days 00:00:00.113746,0.01552556331489374,77.64424981967029,20,13,0.009079583394492413
155,0 days 00:00:01.046475,0.0016630070849041711,221.09670980830705,444,9,12.912742265942038
156,0 days 00:00:01.126654,0.0028675698952978163,148.38159677931546,412,28,28.48335717362161
157,0 days 00:00:00.811556,0.0036376844276083636,0.004426712918135404,52,26,0.02507105069132419
158,0 days 00:00:00.105902,0.012918623272933409,490.71128665477335,58,11,20.670122662835464
159,0 days 00:00:00.146610,0.006423544070813039,2.6922157826238196,21,12,0.23414536546895923
