number,duration,params_C,params_Kmin,params_alpha,params_n_iterations
43,0 days 00:00:02.136912,0.00011239284587963469,48,0.43936506727978286,51
44,0 days 00:00:24.653477,0.22490870732049384,27,0.11096910676327454,112
45,0 days 00:00:51.625764,182.76150924483932,23,0.6610843033893544,230
46,0 days 00:00:03.088707,0.0003323915745751609,21,0.4265991193777142,72
47,0 days 00:01:19.374441,2.5170470034959838,27,0.36595966655446166,372
48,0 days 00:00:18.577238,0.005192215300828415,21,0.8238538630378563,414
49,0 days 00:00:04.552280,78.83007677001403,41,0.20162351485792193,19
50,0 days 00:00:01.841156,0.00045484121229302625,26,0.5239359247825991,42
51,0 days 00:01:03.699662,6796.894977755101,21,0.8049857970711417,404
52,0 days 00:01:01.263637,62.85207568769152,44,0.6733423088442849,380
53,0 days 00:01:05.019328,0.07639808387311116,12,0.44183525642750243,308
54,0 days 00:00:03.997776,122.12179425025538,22,0.5074179577311632,13
55,0 days 00:00:14.963868,0.146762657746844,26,0.12847789196217152,68
56,0 days 00:00:01.127778,0.0006652025093427869,25,0.8272329650725346,20
57,0 days 00:00:02.881263,2372.611889547868,25,0.7986208562753664,10
58,0 days 00:00:25.022140,0.07288122684796014,13,0.270255950118772,117
59,0 days 00:00:37.967001,1040.914482531553,13,0.27686067611479204,185
60,0 days 00:00:39.866436,2862.923942157449,46,0.40112332766559833,192
61,0 days 00:00:09.271501,3.341141707946857,29,0.4245444709130498,41
62,0 days 00:00:02.181790,0.00010411551378090308,14,0.13357219565173617,53
63,0 days 00:00:11.610267,208.6639118634868,45,0.4089007693359791,53
64,0 days 00:00:03.089017,9.34542124553115,36,0.11814438089982665,12
65,0 days 00:00:42.153304,3.2077527141807747,48,0.13053134574291853,194
66,0 days 00:01:01.254443,30.64579361265697,44,0.12747152922994678,277
67,0 days 00:00:03.112240,339.49534067698704,34,0.8315416376959089,13
68,0 days 00:00:05.474326,201.10473855600262,16,0.7851819656476566,25
69,0 days 00:00:32.826897,0.6009073450763622,23,0.7854983535476007,150
70,0 days 00:00:16.179404,0.1437171735852832,45,0.12483967868508908,75
71,0 days 00:00:14.283136,40.47993658901362,10,0.4360356216201934,67
72,0 days 00:00:00.586632,0.0024745409925274768,16,0.5523216044518028,11
73,0 days 00:00:00.850305,0.000121781554140792,26,0.1105797700218611,15
74,0 days 00:00:36.313498,1693.287789204514,40,0.3220919985866977,167
75,0 days 00:00:34.736481,1631.3651106597736,21,0.8869538600972625,154
76,0 days 00:00:07.193707,7.1351273646015745,33,0.7577278308607125,36
77,0 days 00:00:09.302907,711.9829285245379,29,0.7424946903392506,39
78,0 days 00:00:13.023930,3.925322197939498,25,0.5217936613393842,54
79,0 days 00:00:05.272077,1.0184123643819565,20,0.8921632480682514,19
80,0 days 00:00:06.799234,0.002554077995089397,12,0.15655694300035414,163
81,0 days 00:00:17.804162,1.2787751712191497,13,0.706218746523297,78
82,0 days 00:00:48.051140,1103.4398145687096,47,0.6099131575659242,205
83,0 days 00:00:21.050694,0.19554015951139803,10,0.36090454779372616,94
84,0 days 00:00:02.703863,184.2763520532717,35,0.21613861528135392,12
85,0 days 00:00:00.561679,0.0002604772744670296,14,0.5127888707532686,12
86,0 days 00:00:04.911429,0.0149853494587248,38,0.21624955134024795,73
87,0 days 00:01:47.999244,0.1617763877238537,30,0.8066686131785009,495
88,0 days 00:00:05.455267,0.030589836302780123,10,0.5522116424549106,56
89,0 days 00:01:35.823884,1.435765633521897,38,0.2662328091631956,431
90,0 days 00:00:05.683073,155.00758852786316,34,0.44033698423975054,25
91,0 days 00:01:07.297578,48.372118637182794,25,0.1616383707880279,291
92,0 days 00:00:05.369376,106.64985070864877,48,0.4663433410105834,22
93,0 days 00:00:07.140510,30.18207442617567,15,0.6003375283965391,30
94,0 days 00:00:06.249290,0.000500925237186796,11,0.8095727513891157,139
95,0 days 00:00:01.588283,0.002054646705186789,15,0.36732729975912015,26
96,0 days 00:00:02.282771,0.2938827301999572,31,0.45705044476303536,10
97,0 days 00:00:09.891830,298.71101819994243,13,0.6446358000426232,44
98,0 days 00:00:17.260847,0.7922222556353528,23,0.3133925567383363,68
99,0 days 00:00:13.177879,0.014610794202465869,11,0.5178426265059808,190
100,0 days 00:00:39.296656,1181.203573391095,25,0.5536435369824027,163
101,0 days 00:00:03.252400,877.1224360077246,23,0.791073664766541,12
102,0 days 00:01:22.733996,586.4047854039778,31,0.47866390085620814,382
103,0 days 00:00:20.710118,0.0004627241252452749,44,0.7121542436778181,482
104,0 days 00:00:08.796184,0.00014106248017616935,32,0.32865048268710484,169
105,0 days 00:01:12.651359,0.051519923968043786,15,0.19606649845573287,381
106,0 days 00:00:12.145919,0.02449770590386277,45,0.7892876922233423,154
