number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda
17,0 days 00:00:06.995596,0.38889751723614774,0.02888187122232899,17,0.18224193636955568,375,19,0.004523231102103753,0.0001261465218431588
18,0 days 00:00:07.913951,0.19020419858107102,0.03690399152193297,14,0.08237210431176785,485,13,0.04739909667656131,0.02621693800759639
19,0 days 00:01:01.666777,0.2501627617436497,0.12426491852418102,13,0.04584939885291885,3928,51,0.05175391791015345,0.0001296218308828151
20,0 days 00:00:42.824313,0.7498500395233131,0.03386551492392295,5,0.03891102170949091,2579,73,0.0001612504689638592,0.012367625311726763
21,0 days 00:01:34.080309,0.4054634375045667,0.0199619378740211,12,0.09457394806295379,3350,94,0.01971220000597588,0.0679783405012952
22,0 days 00:00:18.974326,0.6474275792686116,0.01669009058256015,6,0.1691718565545688,1083,21,0.002456704561164879,0.0420454372176472
23,0 days 00:00:24.726580,0.6525693603693064,0.06435199897637789,5,0.16422543982875829,1493,60,0.005391204002783815,0.0005172237564581172
24,0 days 00:00:28.995280,0.29687443636309463,0.17981673941047072,19,0.01947176445015719,1243,38,0.004599676678749477,0.00043368209942879296
25,0 days 00:00:28.375764,0.3806162937946923,0.019763927515830938,17,0.03674422235050108,1377,28,0.0005795213566496783,0.00014930951369986474
26,0 days 00:00:39.668531,0.7093734166243768,0.05079338764562964,19,0.041943838783691165,2013,23,0.03663032238557958,0.017041335863248304
27,0 days 00:00:20.727800,0.8934268592895227,0.039200237951933316,2,0.019871068246332106,1540,51,0.05239070724046744,0.00025802468723431805
28,0 days 00:01:31.574184,0.267072349875357,0.06581490295204781,16,0.10921514554423373,3755,44,0.04149081505976887,0.0006616466294247088
29,0 days 00:01:02.772433,0.5663806425375969,0.17082740954987388,6,0.01894633800867506,4340,48,0.015579998815213634,0.00057786305305998
30,0 days 00:00:04.664230,0.8268222419729087,0.0891922627452973,10,0.017481863966607992,269,16,0.008685469747805197,0.00044120681317291787
31,0 days 00:01:05.700111,0.26495185259267073,0.014853355235012262,12,0.05440390667074217,2343,47,0.014144221329282104,0.0015423364004333773
32,0 days 00:00:09.001709,0.29570544343501465,0.08698584788752241,13,0.013196853279370258,385,30,0.0001234124274811729,0.017417375729910853
33,0 days 00:00:37.498798,0.9365763851129715,0.02399344978916274,5,0.010504501342708578,2359,53,0.000527820604505841,0.0001999317773533661
34,0 days 00:01:06.537972,0.8087879403595233,0.08227498578895867,18,0.056908761785353666,1860,60,0.00035066595319585846,0.003444929907153387
35,0 days 00:00:25.945355,0.667403143180112,0.020019386583819222,18,0.1095939395637069,1538,16,0.070462243557644,0.06670111812059992
36,0 days 00:00:45.299185,0.802383985993612,0.017899671529634037,3,0.13240088434234445,3430,19,0.020891904350239722,0.08370973971988652
37,0 days 00:02:31.431154,0.2708631207124822,0.06791612910617852,19,0.11738154753109027,4780,56,0.0012757154592651636,0.0002574546943671051
38,0 days 00:00:16.095720,0.7966425994287749,0.1323539863157116,6,0.1511666181258031,1156,16,0.08293893742197958,0.0762963872942064
39,0 days 00:00:11.422941,0.11255355634007382,0.10199624505782946,11,0.17366541031464316,678,12,0.06006739398150254,0.0009460866525598578
40,0 days 00:00:22.064649,0.47848552001208866,0.012689970565999426,6,0.020855955906101772,1235,20,0.0001856988023138807,0.01037871107342141
41,0 days 00:00:40.737761,0.5391411120884593,0.013354078918601105,10,0.04167840880670844,1327,72,0.0005867035718985624,0.005967679275740917
42,0 days 00:00:22.480765,0.1511632687899163,0.02338118529824891,10,0.1061503338664331,987,33,0.0013796879387439835,0.0003495045912526376
43,0 days 00:00:42.189984,0.902844692273196,0.07699608881165625,7,0.010294484423270512,2017,60,0.0003428483375429331,0.00016202314279660038
44,0 days 00:00:09.743594,0.5395690539463509,0.08520576983622016,8,0.14074444504132905,372,60,0.002967944931182761,0.002561503235514711
45,0 days 00:00:13.689160,0.7132532595434541,0.011117511558376425,14,0.049840570359828466,865,14,0.0019552726186680735,0.0033888360385622954
46,0 days 00:00:07.887159,0.5112202794811892,0.17551431093763645,17,0.05099268179393033,574,13,0.00036424422532291463,0.051517154215835685
47,0 days 00:01:17.329187,0.6724549499024272,0.07902113240876014,14,0.09651431091407235,3511,28,0.012556429505008463,0.0009619692830691984
48,0 days 00:00:09.075188,0.6020301707945847,0.025181961232744705,13,0.17410856005508102,513,14,0.0004995700723029496,0.0032380405551908596
49,0 days 00:00:04.322779,0.670247100730172,0.01603556693750102,3,0.013270661745792466,334,41,0.09490488556677198,0.00017988841802877849
50,0 days 00:00:59.814009,0.4210362013622886,0.12724018935312045,3,0.02899649676194375,4295,86,0.0001258675792319208,0.07532656537481788
51,0 days 00:00:04.022865,0.18282482705076153,0.04985506285530895,3,0.013431448038498328,262,15,0.010985262854329185,0.006722529933292632
52,0 days 00:00:05.235884,0.1612666665772482,0.06301399503579787,8,0.03613067681099941,295,12,0.00012566773120271935,0.00011138281593286981
53,0 days 00:00:09.571972,0.32018627283595935,0.10074186371361946,15,0.18929653704684654,531,16,0.0013448681944065045,0.002972173945010841
54,0 days 00:00:12.360478,0.3814779661961719,0.12073458154087537,18,0.030123974163974707,767,11,0.02636747287804367,0.008319025698678402
55,0 days 00:00:44.265430,0.5479101806820856,0.03128528876982653,10,0.1291224350021876,2761,11,0.007976141849330721,0.06034444097220806
56,0 days 00:00:30.010387,0.14140657979856724,0.03465303130510193,16,0.15973853512902594,900,66,0.0012068038345686596,0.03061757170872134
57,0 days 00:00:10.196493,0.20895389164097689,0.021610682384139903,19,0.14693156835480647,501,22,0.0013972670627314207,0.01234311713671661
58,0 days 00:00:07.437877,0.7576381892147286,0.17267039060221936,3,0.011910318448979045,515,16,0.0005014882552669057,0.01173018320884921
59,0 days 00:01:03.211407,0.553540250691492,0.030683396031777336,13,0.10839632722427518,3508,18,0.0009401877555514359,0.010973536508966776
60,0 days 00:00:20.878776,0.5676785465045923,0.09134146605040347,15,0.05171777083724436,607,76,0.004635363418637764,0.0004023028784865991
61,0 days 00:00:10.197188,0.36351462829646697,0.18169887440054575,3,0.012365272944890546,710,10,0.09620604669163267,0.0022670706161121994
62,0 days 00:00:08.401841,0.5921964115024799,0.061090739735120414,14,0.18160587654527055,394,26,0.0014074214882631015,0.048546469629972805
63,0 days 00:00:07.796852,0.9730675664659006,0.019072580156096336,2,0.02265649735124878,569,39,0.005492084305509036,0.08457754120740348
64,0 days 00:00:08.377930,0.3965884397308743,0.022982214905690773,9,0.06515863917071316,269,77,0.04837150239098818,0.00012010681702500434
65,0 days 00:01:10.666574,0.44814443821059935,0.026869289240871223,5,0.04616826186119229,4530,14,0.04652645518107717,0.0034463150474326847
66,0 days 00:00:19.435676,0.5893102484452857,0.0184761663414062,4,0.1392870690819713,1223,88,0.001059483858698555,0.010683841755985942
67,0 days 00:00:09.420679,0.4250363653938851,0.02453833967950145,8,0.05321810864945095,583,10,0.0024024763390000257,0.00011846285407505
68,0 days 00:00:18.886259,0.20413290999438427,0.02790918583564568,7,0.018745238744698817,1127,14,0.007356871603100478,0.0006873910048408718
69,0 days 00:00:39.622364,0.9748742567737821,0.08752619966452153,15,0.039064866743863794,1408,49,0.001467581711967923,0.00048001179914180007
70,0 days 00:00:49.016654,0.8117561469046645,0.0805646516847573,7,0.027195579210813135,3039,82,0.027608063749246927,0.003383931708143854
71,0 days 00:00:06.795702,0.6609652057181176,0.07995729740072591,9,0.034183351463638434,334,27,0.00018735150929382542,0.00048225696050373246
72,0 days 00:01:22.686883,0.5879165082219445,0.033586827339254055,8,0.031156856697212607,3563,41,0.004304691891017596,0.007329573409827365
73,0 days 00:00:09.368709,0.45022120939106725,0.18187360037371111,11,0.016880434449609027,359,47,0.057457725785369985,0.00012826301733037332
74,0 days 00:01:14.865808,0.231283138655169,0.05685078878623364,17,0.056983847327495195,4332,19,0.006220283678258509,0.0005177624741735736
75,0 days 00:00:09.146614,0.1549706833601086,0.08055999712885265,4,0.011967111297021675,683,42,0.0005523269908260216,0.00013147602573789706
76,0 days 00:01:52.314844,0.4259701530454504,0.07499801372857189,19,0.19878280908897814,3792,54,0.003862066851903463,0.0008191040872815661
77,0 days 00:00:19.842065,0.9331319365391465,0.1829311519907811,19,0.018225522715209337,1023,23,0.009808400790438336,0.000757588210347061
78,0 days 00:00:11.024271,0.4886064348626459,0.14413386108553777,6,0.05892705026656993,631,25,0.0019852676750997025,0.060905446662710507
79,0 days 00:00:27.362464,0.9861684606723763,0.07057867711754726,10,0.011191112462302914,1476,22,0.029184730733424754,0.0016154751393498415
80,0 days 00:00:13.294749,0.34500642494818834,0.02223210769290412,3,0.014049102458119194,957,86,0.004922583379277268,0.07426752058344142
81,0 days 00:00:07.298038,0.9628668307509337,0.0206405551137587,7,0.10134559878249816,319,58,0.0019808174056317935,0.003681194978110039
82,0 days 00:00:05.149856,0.9026208688305432,0.16533815546329814,3,0.05966072839517582,355,12,0.06642705179302252,0.0001437224137396871
83,0 days 00:00:42.029315,0.5479992170428076,0.07782520078092202,10,0.013382448123577046,2593,16,0.009338688197780411,0.03856450733234925
84,0 days 00:00:23.024634,0.5317784831773704,0.1911735380462473,19,0.04126999779942783,1425,17,0.048948993481382326,0.0006506391250009454
85,0 days 00:00:43.149279,0.4598309260083977,0.1303602629181894,15,0.03352327715664511,1146,92,0.0002248778562703401,0.0006512627373418404
86,0 days 00:00:30.979605,0.8401660645201213,0.0330613530342931,6,0.012334654532811889,1868,22,0.001973696554487592,0.006975624581627179
87,0 days 00:00:50.578592,0.7425344752293475,0.02578764526456692,15,0.023216055973715777,1770,53,0.031618948474158956,0.021252481972903386
88,0 days 00:00:18.071143,0.19296833957662476,0.06149291315222643,4,0.1769590751810987,1344,25,0.01287219141848811,0.008023409692963316
89,0 days 00:00:40.080656,0.8635061350936802,0.17651703335467023,19,0.028984021151633108,3358,10,0.024488277542494538,0.09467199487843665
90,0 days 00:00:50.581413,0.12245025216442144,0.025113401982156013,8,0.010263744784643302,2515,52,0.004091071559361404,0.0006663848983927514
91,0 days 00:00:08.209093,0.23803199007341116,0.01625261778391952,9,0.039246644802630695,385,32,0.0047758119453401105,0.02091060668717523
92,0 days 00:00:09.607264,0.4151865348676008,0.012348283829350236,19,0.016168763245847574,454,27,0.0018430348757825742,0.0014620385053149632
93,0 days 00:00:09.928052,0.6781165744271147,0.017812786742246442,9,0.03918659625860209,332,74,0.05679052100964091,0.0054833084619534695
94,0 days 00:00:11.411599,0.20564226475350145,0.044184732619633134,10,0.04810983454647554,535,35,0.011097364097803925,0.0006792361847828893
95,0 days 00:00:06.403136,0.7177258446343753,0.09368207930836643,17,0.016645802312752297,403,11,0.006713760470047231,0.005458001105190953
96,0 days 00:00:59.753145,0.5686852935176745,0.04575610772819139,3,0.16256351147073497,4664,40,0.0007965463455428491,0.004451452242358959
97,0 days 00:00:19.710493,0.5001285590301707,0.02100127412601355,14,0.03949356819339228,556,75,0.0009009496637494247,0.03769922347100627
98,0 days 00:00:22.560334,0.7081202328798402,0.19519966618674855,13,0.10721586976207706,684,75,0.0013496582100654237,0.07914843589155296
99,0 days 00:00:08.719980,0.28500969037677665,0.09361135966710715,11,0.017882552263128064,520,16,0.014597898189932405,0.002809796503578927
100,0 days 00:00:24.613986,0.2407450139811667,0.03592653872348525,10,0.013590748371388895,1243,27,0.03377261300316086,0.028451156022427315
101,0 days 00:00:08.676936,0.20577307861327387,0.013804283264861234,18,0.0597004092734449,621,11,0.005065855305504621,0.000549124498233056
102,0 days 00:01:53.741185,0.9346622963806437,0.07528051747411409,9,0.010226252348416497,4651,85,0.0004714121972497532,0.00011864767638624773
103,0 days 00:00:31.779159,0.7929704676250799,0.08365201404241744,19,0.14713976537736811,1994,50,0.07294599393142491,0.0011371263452141002
104,0 days 00:00:16.188065,0.6501946781778589,0.012902517909004709,8,0.026239418903638338,729,41,0.0005006350520448705,0.000175434561716033
105,0 days 00:00:09.561022,0.2938583839089144,0.03576517915825591,4,0.16333245217974593,752,53,0.00015511768852406212,0.00042146329327028866
106,0 days 00:01:38.467780,0.8307447055219174,0.06138318586884293,13,0.06750835786875184,3270,63,0.00022232362535347884,0.015263863552441316
107,0 days 00:00:32.395394,0.8423179350531821,0.047077252451657586,16,0.03927934684046962,1051,82,0.018421226239233323,0.0001249740559004391
108,0 days 00:00:30.748126,0.5640745119861266,0.14056510516345455,5,0.0306160411633838,1852,35,0.015844093730892007,0.0016950347920230608
109,0 days 00:01:01.692393,0.8603682252404564,0.015988616700859035,5,0.14180162781030542,3586,54,0.011281768528202809,0.00012653547389241402
110,0 days 00:00:18.353790,0.6401915813181646,0.16565989471690531,5,0.027661146444098138,1152,13,0.05887296690886643,0.0007055219931802038
111,0 days 00:01:13.536920,0.5794017287242247,0.1369378910853977,19,0.017432687676046724,4478,14,0.002990037913072541,0.049760332846044635
112,0 days 00:00:10.134391,0.14141221906835058,0.10867660934305452,4,0.18734035495751408,664,20,0.0006298305273037432,0.0007848619276099977
113,0 days 00:00:06.456111,0.7623045071269596,0.10321333586799028,3,0.100676608991924,441,33,0.024365263117160328,0.001080416933366556
114,0 days 00:00:08.419637,0.17656846753032207,0.011451211300237785,6,0.01675065448229309,381,73,0.0009459984459248673,0.0030955957791281904
115,0 days 00:00:15.624189,0.2903093162041722,0.03328662804852476,5,0.02837972362383286,970,85,0.0017785876432497348,0.027071719742407352
116,0 days 00:00:08.402269,0.24803957052439496,0.0921222700295616,12,0.08774837105126626,298,75,0.06468202971712765,0.009501749994479924
117,0 days 00:00:47.754606,0.9898741027834097,0.03182582477461972,17,0.02503877164313737,2351,31,0.015429233170458648,0.005427890120374733
118,0 days 00:00:35.397730,0.8441754427438254,0.0471038876207318,9,0.05267564452364144,1395,88,0.002850341758833882,0.050522695366663394
119,0 days 00:00:32.415827,0.5280302053763594,0.14963210347155723,17,0.013482038279909615,2197,10,0.00013451557482083918,0.0009981966394394634
120,0 days 00:00:51.600983,0.16196676804403656,0.026895976709580122,7,0.01976083837866552,2916,19,0.02764651703410065,0.00026372534758794955
121,0 days 00:00:34.134131,0.2958965591119646,0.08609035318467222,5,0.11497379478005676,2070,24,0.00101843338417297,0.015251544268646229
122,0 days 00:01:00.132331,0.6436697922684483,0.03745108023688605,2,0.0956827369620321,4622,14,0.00041868551917463305,0.009883120861871144
123,0 days 00:00:14.757449,0.5343258175408909,0.01396560373146079,2,0.025809343841298966,1103,13,0.002381823525680143,0.0009268311340189249
124,0 days 00:00:32.631014,0.5204074664519531,0.1828524189016652,3,0.10654031024553738,2225,11,0.002149632540835951,0.001262230683831542
125,0 days 00:00:09.763490,0.6317717949306119,0.04677580058366715,17,0.08439585103289723,313,67,0.00010691778450586489,0.00025649034520198094
126,0 days 00:00:38.569305,0.30661070022275483,0.018976066792200125,12,0.026303340793447066,2035,22,0.020590950230957424,0.00010877108754320086
127,0 days 00:00:34.003433,0.908160342526378,0.014245784887216338,18,0.058205344802358755,1141,54,0.00013247404198008506,0.0027486627700011876
128,0 days 00:01:11.938447,0.12759494349314612,0.08358561431197276,7,0.047494303507225825,3937,23,0.00013549594432595211,0.04350753207874996
129,0 days 00:00:18.920435,0.4704539622523829,0.013798282567400585,18,0.010647721138279082,489,89,0.00072884219408666,0.0023448273852185206
130,0 days 00:00:16.414836,0.3059716511792412,0.020000213680792193,4,0.12376945498893334,1083,17,0.0029534579704518817,0.017072758332179423
131,0 days 00:00:05.002839,0.3274299410081192,0.13806160830999292,2,0.02856166853085198,373,85,0.0004979084112014905,0.00024327072079885227
132,0 days 00:00:04.289271,0.8918710185082857,0.03852614361628405,2,0.03852437722781052,310,44,0.0007326586140913887,0.058019853150196234
133,0 days 00:00:06.615264,0.543369189410816,0.026563720369130697,18,0.018180001221834795,285,34,0.0007953684761465431,0.0006314870867801203
134,0 days 00:00:13.526768,0.2805739036170116,0.15349448819320302,17,0.03877793010189259,703,21,0.0017429113032938156,0.010743198940569493
135,0 days 00:01:05.516349,0.5950490583486826,0.013162579430495197,19,0.04840369365926458,4047,13,0.00048733576166166547,0.011382687112587211
136,0 days 00:00:43.929906,0.9475010158507807,0.18037074904740302,18,0.010019918020750435,3024,11,0.03775790756817603,0.00028581280464077223
137,0 days 00:00:09.730424,0.7574302469835431,0.014617614406064879,19,0.05400220683818439,575,15,0.00156301977395947,0.019061084388137535
138,0 days 00:00:08.807500,0.7307700845029639,0.1813574899561118,16,0.011371617435632395,445,25,0.03831501714224987,0.007128053451506498
139,0 days 00:01:08.641685,0.11535443763318776,0.09597298004633853,16,0.09715422057632797,3856,33,0.04519241539348175,0.00019987350677964442
140,0 days 00:01:48.602486,0.8891556135311559,0.0290787999092761,10,0.01632280897193086,4530,41,0.0006292916443435284,0.026439642682657947
141,0 days 00:00:35.720322,0.481228873042874,0.012188902390782805,3,0.018358776407997275,2538,76,0.00261361351682056,0.002064276368752707
142,0 days 00:00:12.244307,0.2854571836794009,0.08542400986041646,8,0.02699161636345843,730,14,0.0001476102399999551,0.08599262512154668
143,0 days 00:00:08.961774,0.8413778442367217,0.020850379301240902,3,0.029686040869992308,627,96,0.00040113268791874563,0.0001677588720921384
144,0 days 00:00:11.273316,0.6745510951992537,0.010062042626227305,17,0.026909962759094633,570,23,0.00039512454068590393,0.07385322737725467
145,0 days 00:00:16.785529,0.5468933158766761,0.033458508418817694,11,0.10564548623452015,579,88,0.00016093161275672387,0.06751920469288399
146,0 days 00:00:11.037431,0.12211932187626946,0.022904963143892242,7,0.08299680050250671,665,15,0.0033039141806445087,0.0011212256940519093
147,0 days 00:00:27.539566,0.8986267558752876,0.02710335769889452,15,0.19279834118724645,1670,17,0.0626249812691548,0.023226452475994894
148,0 days 00:00:04.165955,0.11628672238132765,0.015956291549511465,13,0.013638251278278066,254,11,0.0018967372046687738,0.047656428577369715
149,0 days 00:00:30.597178,0.655246459166231,0.029686928712237003,12,0.015780650033071483,1466,27,0.0005499424065281032,0.0030253234314327852
150,0 days 00:00:46.495781,0.7482392672542822,0.0321228665001713,7,0.015009028329704783,2291,50,0.0006184478148160199,0.06821457148043505
151,0 days 00:01:01.143894,0.8443459252653908,0.10328425928737003,19,0.02099704489099702,3998,46,0.035330426985868094,0.03516937054714581
152,0 days 00:00:30.344478,0.6044055298388022,0.1533998476904741,3,0.031207096506771503,2154,21,0.0006745458243470791,0.0012840165468169045
153,0 days 00:00:34.812454,0.6432844793370337,0.0153721627263858,16,0.027935100585514655,1850,19,0.0008015429051318227,0.018518363251931874
154,0 days 00:00:28.672486,0.1370618121953095,0.05176895041244801,16,0.11021036684614664,1608,19,0.02790455635121038,0.00019762009610829073
155,0 days 00:01:17.536659,0.7959332134603209,0.06545681924184335,10,0.015597157175506218,2884,64,0.003216319789901741,0.00032319044274552953
156,0 days 00:00:57.600591,0.3345294290214109,0.010020738622719802,18,0.1914179720540066,1369,96,0.003716156854261245,0.0013860730976089045
157,0 days 00:00:15.729747,0.42187513136339694,0.05454919999532703,16,0.014179021172873415,952,12,0.0003609526583647911,0.00020616185822570473
158,0 days 00:00:05.122283,0.5163244646220015,0.03199039631399117,19,0.06635669558189047,253,26,0.0046455497611906284,0.0011730584893848415
159,0 days 00:00:19.585229,0.974586768502556,0.11166852802109449,3,0.04636949558748114,1733,40,0.005732232870989151,0.005103413521524722
160,0 days 00:00:18.914419,0.475785280897171,0.03271382068748848,11,0.01427954958080022,743,61,0.07351869676949932,0.006236600254417755
161,0 days 00:01:06.528655,0.9968867798115462,0.015460234695094617,14,0.0447242269824872,2598,49,0.00038209756137459966,0.0952050673906412
162,0 days 00:01:11.377030,0.6740562691771634,0.020931682701513882,15,0.15836959319671712,1798,85,0.0008811833902667415,0.0511607104557035
163,0 days 00:00:05.884216,0.30508364234859925,0.0640779054024015,14,0.052328883103984064,335,18,0.00029051515931043873,0.0021015634129749956
164,0 days 00:00:08.410181,0.39753667068328935,0.013586802001265726,6,0.015198945232301843,493,18,0.0007525443431215465,0.0889140371499091
165,0 days 00:00:04.446685,0.725255294501245,0.032569802114913,4,0.13405676007093895,291,21,0.0010347708256090975,0.0012573025846585502
166,0 days 00:00:12.628822,0.8159108740986831,0.01350226752797128,19,0.03684749074166676,263,90,0.03993407458947574,0.0007634814548270959
167,0 days 00:01:14.865006,0.5943135332193985,0.021304689275531096,19,0.011361733733441234,1902,86,0.008853087988970958,0.011554944942250052
168,0 days 00:00:39.991856,0.7972728527732488,0.11730638147096412,13,0.18094359187976497,1716,37,0.012635309037103358,0.044589519456100915
169,0 days 00:01:57.545850,0.4823673752302772,0.012551142050694929,13,0.018508044186458416,4914,41,0.08955521983651593,0.040695296181938345
170,0 days 00:00:39.786258,0.460403681262331,0.15424438150793635,17,0.189753703901408,1765,35,0.0008225079324755721,0.00472021957750224
171,0 days 00:00:22.433316,0.2767367301813386,0.048331839404735115,5,0.04518586619929439,1837,25,0.0031304058470744993,0.060796011920001905
172,0 days 00:00:03.149310,0.7177422070004257,0.10383776274621681,16,0.03454144307898752,271,12,0.00032120207898557603,0.0013249145669293378
173,0 days 00:00:05.651198,0.7527846063238252,0.09621389191588109,2,0.04077594601823254,606,20,0.0013652434755863807,0.0063503996756156525
174,0 days 00:00:04.815257,0.5890173762850927,0.0833885226617084,7,0.05167706835491181,334,13,0.020027659455028345,0.00072687233312214
175,0 days 00:00:53.201905,0.51143466196678,0.10896874063891693,9,0.08823786507743603,2292,90,0.022104034580007995,0.0051182102932722994
176,0 days 00:00:54.953136,0.25294148722035015,0.16095039412937814,7,0.1560422557904117,2764,55,0.00010987863185701168,0.0027622582328290664
177,0 days 00:00:02.518564,0.41037092796047325,0.03786870496451141,3,0.06916278785839959,281,26,0.0032149918899424517,0.0041700752412560564
178,0 days 00:00:05.488153,0.6557475409005573,0.025927747484211946,12,0.06409178567240216,338,20,0.07485167684920016,0.07892286347977626
179,0 days 00:01:00.631216,0.9913316699256216,0.025585316412115637,2,0.043032276861500185,4785,77,0.0012491571678346991,0.0004016060968478658
180,0 days 00:01:01.596473,0.3400121637424606,0.015625026912711844,16,0.024817621996665016,3843,13,0.00023347180728439392,0.07793615459757101
181,0 days 00:00:31.535808,0.22075627427045888,0.0178404667652676,2,0.01356800233442895,2518,33,0.011386793315614815,0.00014076647416049322
182,0 days 00:00:11.483952,0.6128507916402005,0.09753172979413817,8,0.08430082123356106,645,19,0.001634056095078113,0.00015680338802555592
183,0 days 00:00:10.389405,0.941644460870043,0.02428125420891723,13,0.0397960680317556,393,42,0.0030214880911621973,0.009356879374576322
184,0 days 00:01:24.143456,0.377937197637478,0.030610344227939672,10,0.019221668695612138,3540,50,0.02064887481117178,0.0010459938232799748
185,0 days 00:00:19.872359,0.1400210591016494,0.012516273483884309,13,0.02574526329278423,1141,16,0.004570310750329514,0.005369949176911105
186,0 days 00:00:18.376677,0.9850905804111186,0.04842856680579687,9,0.024949374186452256,1160,11,0.004109957561347661,0.06501136457617182
187,0 days 00:01:11.514612,0.7043749270891824,0.10012746194081973,7,0.01801310717627009,3729,28,0.01080649629382387,0.0009109649513266648
188,0 days 00:00:42.118117,0.22639556923394769,0.1473801886719808,10,0.046744168964161385,3123,10,0.0009213375944422618,0.0026457843106826996
189,0 days 00:01:07.976750,0.9677803775093033,0.023938977465422916,13,0.07379155255905233,2115,67,0.00013005709361521976,0.07406828927831131
190,0 days 00:00:27.187084,0.7475222102176202,0.07555627449538886,11,0.02131068014278456,1228,63,0.09164554403824203,0.05997636103345426
191,0 days 00:00:13.175189,0.2682434797260286,0.18451293663386228,5,0.028152978396076667,795,57,0.00028086368803254805,0.012548960471007732
192,0 days 00:00:11.483639,0.6297959392133268,0.0738016968216028,3,0.18863239231938636,806,93,0.02478774725467226,0.004497611208356738
193,0 days 00:00:04.660343,0.8108825527982124,0.06057307722991272,7,0.08390873108503406,286,15,0.020691529866923682,0.0017348358082266955
194,0 days 00:00:16.303179,0.9284928249963729,0.013138640123617637,8,0.022726628025511803,646,95,0.0031943809141642973,0.0002286527070888308
195,0 days 00:01:17.486425,0.1664436534078237,0.15887573667920435,15,0.13771727868458739,2530,59,0.00020667316139449428,0.0886587626887029
196,0 days 00:00:30.386093,0.5631623955935775,0.03143678698003812,13,0.01909720743957763,1088,52,0.06372995312979497,0.002563093335830775
197,0 days 00:00:30.888062,0.7033870970007011,0.039300227908285905,19,0.012422937766141343,1721,20,0.0029066839512547175,0.02061660597526328
198,0 days 00:00:11.089830,0.6702789286357476,0.03924214095844938,13,0.1876112336441616,389,47,0.0005024877218101923,0.01938983568023279
199,0 days 00:00:05.496447,0.4060906715117,0.07869590187404543,8,0.05146262137588385,373,16,0.00013407983479537869,0.0034949504531832584
200,0 days 00:00:04.515722,0.11772247845133335,0.05872369781314124,8,0.026790369826012,307,16,0.01469516802233768,0.0008972131285752416
201,0 days 00:00:04.834641,0.4503583673260162,0.09494261838212209,9,0.0928322107508736,282,18,0.022453894289345588,0.0015281712647881682
202,0 days 00:00:09.163772,0.4832357925646936,0.010910258934798765,4,0.06173704602331513,643,17,0.0005215466306078295,0.0008018289492992452
203,0 days 00:00:27.960914,0.42457127251076565,0.021867048378025524,14,0.010873240017830476,1822,13,0.00013776914122534906,0.02938539131432504
204,0 days 00:00:08.057337,0.798778947562342,0.05779892608285316,6,0.08674046409527018,428,31,0.005936258309319761,0.00014825062704443466
