number,duration,params_C,params_Kmin,params_alpha,params_n_iterations
48,0 days 00:01:24.541122,2870.5107780255944,33,0.806005877945952,263
49,0 days 00:00:16.806117,943.1728544978072,44,0.2484793405060236,101
50,0 days 00:00:47.392293,1958.7952978213243,19,0.750594091877113,154
51,0 days 00:00:08.181916,45.13815362507503,29,0.32646046992798966,41
52,0 days 00:00:21.891797,0.7180573332864078,11,0.4537010028317715,127
53,0 days 00:00:08.810510,0.4323763242792585,30,0.3776907142077922,42
54,0 days 00:00:09.535760,0.027311265950247934,29,0.38562626917412435,34
55,0 days 00:00:14.781365,0.000596998116208991,45,0.25169921149291447,183
56,0 days 00:00:11.723865,0.014222479499361538,37,0.5834752894110884,42
57,0 days 00:00:39.672037,0.01586776256861185,46,0.10571738604044345,129
58,0 days 00:00:16.047813,46.15671677131744,22,0.36019965966687495,88
59,0 days 00:00:03.586955,6039.4021202559115,42,0.7556436027732091,13
60,0 days 00:01:44.419136,0.004188727130935832,26,0.5702723206502299,458
61,0 days 00:00:05.398009,0.003988798081137509,24,0.4980464276024542,23
62,0 days 00:00:28.094846,2.314302583934736,19,0.19299950135146862,155
63,0 days 00:00:22.387187,3.5427381225882733,24,0.42617267189466546,128
64,0 days 00:00:01.633308,0.00010445422950573833,49,0.8414587920085025,18
65,0 days 00:00:11.418243,315.2583567180195,26,0.6734343480040004,38
66,0 days 00:01:04.837975,0.0513992346369797,30,0.2399929742660213,368
67,0 days 00:00:14.096900,0.002752053863024228,10,0.15974453161906788,78
68,0 days 00:00:11.026334,0.0008361157614114177,33,0.8729160796202037,107
69,0 days 00:00:04.863096,0.00018159860792086972,41,0.47259671199840403,67
70,0 days 00:00:17.909048,0.3197385469514174,12,0.45300476009168666,99
71,0 days 00:00:17.340127,0.22662944049934894,49,0.7856294927213779,53
72,0 days 00:00:38.067565,518.6307381783744,40,0.2326126426713776,206
73,0 days 00:00:04.852996,51.07979106062617,39,0.5231445202261804,19
74,0 days 00:00:03.220425,1.3516088738295655,39,0.7422583971580828,14
75,0 days 00:00:29.541514,0.016176062708401367,11,0.5205203412492454,88
76,0 days 00:00:18.834176,1964.6569724978472,45,0.22510243098284796,101
77,0 days 00:00:09.324453,0.010528786555502457,33,0.8642520138121935,30
78,0 days 00:00:04.571391,306.9842156372341,25,0.10756542025155112,12
79,0 days 00:00:03.513359,4589.784871355994,35,0.7359716058800806,10
80,0 days 00:00:06.200433,2.5657409895886856,25,0.22643318996733514,15
81,0 days 00:00:05.716880,24.217097411219143,16,0.45957046251319833,24
82,0 days 00:00:03.481839,385.04264589545386,22,0.8656696655984019,11
83,0 days 00:00:22.708003,0.0001662306087247102,44,0.7951839157446565,321
84,0 days 00:00:09.183267,1.1267654716634015,35,0.7674005515389414,35
85,0 days 00:00:05.179198,2.15258851447001,31,0.5244459958541563,19
86,0 days 00:00:05.650065,32.820864176800306,18,0.5252964465046904,24
87,0 days 00:01:11.580001,0.4438145334627858,35,0.20271643657582789,415
88,0 days 00:00:04.382886,0.23482726983816513,26,0.4404781741057259,11
89,0 days 00:00:04.346922,0.00010688095340428592,25,0.5945842261381256,55
90,0 days 00:00:01.389637,0.00019040480351189821,25,0.8717969603414369,15
91,0 days 00:00:38.202929,169.50845640565407,34,0.6539668817255228,117
92,0 days 00:00:16.195904,1.5185106660432506,18,0.5401210582866831,47
