number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_reg_lambda
538,0 days 00:00:00.719826,0.75,0.06170385341864718,4,7.754028448099664,0.03362510656561365,28,481.7317852375096
539,0 days 00:00:00.629697,1.0,0.06170385341864718,4,7.754028448099664,0.03362510656561365,28,481.7317852375096
540,0 days 00:00:00.752000,0.01,0.04781728673316814,4,1.2180752156484225,0.0016904756721816874,31,5.5066009120580945
541,0 days 00:00:00.733430,0.025,0.04781728673316814,4,1.2180752156484225,0.0016904756721816874,31,5.5066009120580945
542,0 days 00:00:00.695210,0.05,0.04781728673316814,4,1.2180752156484225,0.0016904756721816874,31,5.5066009120580945
543,0 days 00:00:00.716026,0.075,0.04781728673316814,4,1.2180752156484225,0.0016904756721816874,31,5.5066009120580945
544,0 days 00:00:00.703396,0.1,0.04781728673316814,4,1.2180752156484225,0.0016904756721816874,31,5.5066009120580945
545,0 days 00:00:00.708398,0.15,0.04781728673316814,4,1.2180752156484225,0.0016904756721816874,31,5.5066009120580945
546,0 days 00:00:00.697876,0.2,0.04781728673316814,4,1.2180752156484225,0.0016904756721816874,31,5.5066009120580945
547,0 days 00:00:00.672858,0.5,0.04781728673316814,4,1.2180752156484225,0.0016904756721816874,31,5.5066009120580945
548,0 days 00:00:00.667872,0.75,0.04781728673316814,4,1.2180752156484225,0.0016904756721816874,31,5.5066009120580945
549,0 days 00:00:00.611271,1.0,0.04781728673316814,4,1.2180752156484225,0.0016904756721816874,31,5.5066009120580945
550,0 days 00:00:06.911178,0.01,0.09625236210427089,3,31.267239349099363,0.0017591481872870597,223,1.595077464728368
551,0 days 00:00:07.092864,0.025,0.09625236210427089,3,31.267239349099363,0.0017591481872870597,223,1.595077464728368
552,0 days 00:00:07.109993,0.05,0.09625236210427089,3,31.267239349099363,0.0017591481872870597,223,1.595077464728368
553,0 days 00:00:07.065681,0.075,0.09625236210427089,3,31.267239349099363,0.0017591481872870597,223,1.595077464728368
554,0 days 00:00:07.112916,0.1,0.09625236210427089,3,31.267239349099363,0.0017591481872870597,223,1.595077464728368
555,0 days 00:00:06.945806,0.15,0.09625236210427089,3,31.267239349099363,0.0017591481872870597,223,1.595077464728368
556,0 days 00:00:07.134057,0.2,0.09625236210427089,3,31.267239349099363,0.0017591481872870597,223,1.595077464728368
557,0 days 00:00:07.041217,0.5,0.09625236210427089,3,31.267239349099363,0.0017591481872870597,223,1.595077464728368
558,0 days 00:00:07.244584,0.75,0.09625236210427089,3,31.267239349099363,0.0017591481872870597,223,1.595077464728368
559,0 days 00:00:06.813546,1.0,0.09625236210427089,3,31.267239349099363,0.0017591481872870597,223,1.595077464728368
560,0 days 00:00:10.092682,0.01,0.4338177938654914,3,37.23424671410475,0.004783397602025645,356,113.79300021880442
561,0 days 00:00:09.786340,0.025,0.4338177938654914,3,37.23424671410475,0.004783397602025645,356,113.79300021880442
562,0 days 00:00:10.061968,0.05,0.4338177938654914,3,37.23424671410475,0.004783397602025645,356,113.79300021880442
563,0 days 00:00:10.110471,0.075,0.4338177938654914,3,37.23424671410475,0.004783397602025645,356,113.79300021880442
564,0 days 00:00:09.880102,0.1,0.4338177938654914,3,37.23424671410475,0.004783397602025645,356,113.79300021880442
565,0 days 00:00:09.956283,0.15,0.4338177938654914,3,37.23424671410475,0.004783397602025645,356,113.79300021880442
566,0 days 00:00:10.176396,0.2,0.4338177938654914,3,37.23424671410475,0.004783397602025645,356,113.79300021880442
567,0 days 00:00:10.001305,0.5,0.4338177938654914,3,37.23424671410475,0.004783397602025645,356,113.79300021880442
568,0 days 00:00:10.350720,0.75,0.4338177938654914,3,37.23424671410475,0.004783397602025645,356,113.79300021880442
569,0 days 00:00:09.638190,1.0,0.4338177938654914,3,37.23424671410475,0.004783397602025645,356,113.79300021880442
570,0 days 00:00:00.964297,0.01,0.06310638965770285,4,100.37541321155578,0.0010786142494029923,32,0.7187770923282082
571,0 days 00:00:00.948432,0.025,0.06310638965770285,4,100.37541321155578,0.0010786142494029923,32,0.7187770923282082
572,0 days 00:00:00.857385,0.05,0.06310638965770285,4,100.37541321155578,0.0010786142494029923,32,0.7187770923282082
573,0 days 00:00:00.812118,0.075,0.06310638965770285,4,100.37541321155578,0.0010786142494029923,32,0.7187770923282082
574,0 days 00:00:00.802012,0.1,0.06310638965770285,4,100.37541321155578,0.0010786142494029923,32,0.7187770923282082
575,0 days 00:00:00.790674,0.15,0.06310638965770285,4,100.37541321155578,0.0010786142494029923,32,0.7187770923282082
576,0 days 00:00:00.766922,0.2,0.06310638965770285,4,100.37541321155578,0.0010786142494029923,32,0.7187770923282082
577,0 days 00:00:00.775938,0.5,0.06310638965770285,4,100.37541321155578,0.0010786142494029923,32,0.7187770923282082
578,0 days 00:00:00.743631,0.75,0.06310638965770285,4,100.37541321155578,0.0010786142494029923,32,0.7187770923282082
579,0 days 00:00:00.694040,1.0,0.06310638965770285,4,100.37541321155578,0.0010786142494029923,32,0.7187770923282082
580,0 days 00:00:00.475435,0.01,0.33492505939553024,4,70.29069588837415,0.01011838564270733,21,0.2356436906958844
581,0 days 00:00:00.479760,0.025,0.33492505939553024,4,70.29069588837415,0.01011838564270733,21,0.2356436906958844
582,0 days 00:00:00.548398,0.05,0.33492505939553024,4,70.29069588837415,0.01011838564270733,21,0.2356436906958844
583,0 days 00:00:00.554147,0.075,0.33492505939553024,4,70.29069588837415,0.01011838564270733,21,0.2356436906958844
584,0 days 00:00:00.537352,0.1,0.33492505939553024,4,70.29069588837415,0.01011838564270733,21,0.2356436906958844
585,0 days 00:00:00.573398,0.15,0.33492505939553024,4,70.29069588837415,0.01011838564270733,21,0.2356436906958844
586,0 days 00:00:00.574056,0.2,0.33492505939553024,4,70.29069588837415,0.01011838564270733,21,0.2356436906958844
587,0 days 00:00:00.574678,0.5,0.33492505939553024,4,70.29069588837415,0.01011838564270733,21,0.2356436906958844
588,0 days 00:00:00.524080,0.75,0.33492505939553024,4,70.29069588837415,0.01011838564270733,21,0.2356436906958844
589,0 days 00:00:00.526409,1.0,0.33492505939553024,4,70.29069588837415,0.01011838564270733,21,0.2356436906958844
590,0 days 00:00:01.592570,0.01,0.09216598095659342,3,3.3186934052095634,0.20306188828952593,60,0.31034218291321786
591,0 days 00:00:01.588277,0.025,0.09216598095659342,3,3.3186934052095634,0.20306188828952593,60,0.31034218291321786
592,0 days 00:00:01.600690,0.05,0.09216598095659342,3,3.3186934052095634,0.20306188828952593,60,0.31034218291321786
593,0 days 00:00:01.642016,0.075,0.09216598095659342,3,3.3186934052095634,0.20306188828952593,60,0.31034218291321786
594,0 days 00:00:01.593863,0.1,0.09216598095659342,3,3.3186934052095634,0.20306188828952593,60,0.31034218291321786
595,0 days 00:00:01.599979,0.15,0.09216598095659342,3,3.3186934052095634,0.20306188828952593,60,0.31034218291321786
596,0 days 00:00:01.603023,0.2,0.09216598095659342,3,3.3186934052095634,0.20306188828952593,60,0.31034218291321786
597,0 days 00:00:01.609933,0.5,0.09216598095659342,3,3.3186934052095634,0.20306188828952593,60,0.31034218291321786
598,0 days 00:00:01.651810,0.75,0.09216598095659342,3,3.3186934052095634,0.20306188828952593,60,0.31034218291321786
599,0 days 00:00:01.681108,1.0,0.09216598095659342,3,3.3186934052095634,0.20306188828952593,60,0.31034218291321786
600,0 days 00:00:01.353988,0.01,0.26502711806040513,3,23.235631157807198,0.0752138398778846,46,36.690758631957586
601,0 days 00:00:01.330458,0.025,0.26502711806040513,3,23.235631157807198,0.0752138398778846,46,36.690758631957586
602,0 days 00:00:01.394062,0.05,0.26502711806040513,3,23.235631157807198,0.0752138398778846,46,36.690758631957586
603,0 days 00:00:01.408148,0.075,0.26502711806040513,3,23.235631157807198,0.0752138398778846,46,36.690758631957586
604,0 days 00:00:01.370988,0.1,0.26502711806040513,3,23.235631157807198,0.0752138398778846,46,36.690758631957586
605,0 days 00:00:01.388884,0.15,0.26502711806040513,3,23.235631157807198,0.0752138398778846,46,36.690758631957586
606,0 days 00:00:01.408627,0.2,0.26502711806040513,3,23.235631157807198,0.0752138398778846,46,36.690758631957586
607,0 days 00:00:01.445440,0.5,0.26502711806040513,3,23.235631157807198,0.0752138398778846,46,36.690758631957586
608,0 days 00:00:01.424711,0.75,0.26502711806040513,3,23.235631157807198,0.0752138398778846,46,36.690758631957586
609,0 days 00:00:01.364057,1.0,0.26502711806040513,3,23.235631157807198,0.0752138398778846,46,36.690758631957586
610,0 days 00:00:07.634756,0.01,0.027987337288664135,2,450.77040415060776,0.006809533694801124,224,68.10354001066284
611,0 days 00:00:07.480564,0.025,0.027987337288664135,2,450.77040415060776,0.006809533694801124,224,68.10354001066284
612,0 days 00:00:07.432416,0.05,0.027987337288664135,2,450.77040415060776,0.006809533694801124,224,68.10354001066284
613,0 days 00:00:07.227808,0.075,0.027987337288664135,2,450.77040415060776,0.006809533694801124,224,68.10354001066284
614,0 days 00:00:07.469783,0.1,0.027987337288664135,2,450.77040415060776,0.006809533694801124,224,68.10354001066284
615,0 days 00:00:07.343374,0.15,0.027987337288664135,2,450.77040415060776,0.006809533694801124,224,68.10354001066284
616,0 days 00:00:07.199223,0.2,0.027987337288664135,2,450.77040415060776,0.006809533694801124,224,68.10354001066284
617,0 days 00:00:07.281729,0.5,0.027987337288664135,2,450.77040415060776,0.006809533694801124,224,68.10354001066284
618,0 days 00:00:07.273761,0.75,0.027987337288664135,2,450.77040415060776,0.006809533694801124,224,68.10354001066284
619,0 days 00:00:07.273886,1.0,0.027987337288664135,2,450.77040415060776,0.006809533694801124,224,68.10354001066284
620,0 days 00:00:03.402993,0.01,0.1292799096528087,3,7.663430186406065,0.03398119364414806,104,0.24880851666624879
621,0 days 00:00:03.473752,0.025,0.1292799096528087,3,7.663430186406065,0.03398119364414806,104,0.24880851666624879
622,0 days 00:00:03.338388,0.05,0.1292799096528087,3,7.663430186406065,0.03398119364414806,104,0.24880851666624879
623,0 days 00:00:03.648629,0.075,0.1292799096528087,3,7.663430186406065,0.03398119364414806,104,0.24880851666624879
624,0 days 00:00:03.448064,0.1,0.1292799096528087,3,7.663430186406065,0.03398119364414806,104,0.24880851666624879
625,0 days 00:00:03.427222,0.15,0.1292799096528087,3,7.663430186406065,0.03398119364414806,104,0.24880851666624879
626,0 days 00:00:03.544998,0.2,0.1292799096528087,3,7.663430186406065,0.03398119364414806,104,0.24880851666624879
627,0 days 00:00:03.519886,0.5,0.1292799096528087,3,7.663430186406065,0.03398119364414806,104,0.24880851666624879
628,0 days 00:00:03.436771,0.75,0.1292799096528087,3,7.663430186406065,0.03398119364414806,104,0.24880851666624879
629,0 days 00:00:03.323726,1.0,0.1292799096528087,3,7.663430186406065,0.03398119364414806,104,0.24880851666624879
630,0 days 00:00:00.965137,0.01,0.09929487307533849,2,40.54628605942766,0.2579269256256029,36,32.66196789714514
631,0 days 00:00:01.033098,0.025,0.09929487307533849,2,40.54628605942766,0.2579269256256029,36,32.66196789714514
632,0 days 00:00:01.073984,0.05,0.09929487307533849,2,40.54628605942766,0.2579269256256029,36,32.66196789714514
633,0 days 00:00:01.076799,0.075,0.09929487307533849,2,40.54628605942766,0.2579269256256029,36,32.66196789714514
