number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators
57,0 days 00:00:00.412262,0.005768441691264157,0.012838123121577815,5,72.35142017422653,0.035400660208637406,144
58,0 days 00:00:00.497493,0.056334084791534865,0.35869765549920646,5,337.64354181722246,0.036383345583070485,320
59,0 days 00:00:00.111658,0.020877233862127316,0.0457132932694818,4,5.568926988848713,0.19921623410844588,21
60,0 days 00:00:00.398100,0.01799204119281008,0.05121686697354038,2,177.95849987399285,0.006145858204729607,210
61,0 days 00:00:00.080987,0.01921303377237924,0.04756354070347198,7,1177.6672208822224,0.0154628972977785,30
62,0 days 00:00:00.801909,0.01360789987488055,0.14161350306759085,4,7.579895158677224,0.0068743217001590775,491
63,0 days 00:00:00.179266,0.014885669219504263,0.01427596252544785,8,45.57445812123848,0.49654000907058554,24
64,0 days 00:00:00.415468,0.2250058720053449,0.02289174008678348,8,36.80229688313878,0.03012370166638938,137
65,0 days 00:00:00.079095,0.09576442763763865,0.0011542627974930194,5,6844.177222316858,0.011008794321412515,39
66,0 days 00:00:00.785984,0.3131807478903711,0.021511448622461123,9,1.5972721956624176,0.09231071811550735,231
67,0 days 00:00:00.579874,0.044494646816548404,0.008123843778856943,8,32.579217274863,0.06890066519738998,78
68,0 days 00:00:00.260193,0.008241943822526802,0.009037647023776225,3,1143.1103162484699,0.03536518766691343,161
69,0 days 00:00:00.225626,0.009803144110336724,0.4416902462578723,7,44.1026570690318,0.026489506072704422,112
70,0 days 00:00:02.301581,0.24411134362001777,0.0015272118359793846,9,2.169539192026841,0.38206529016325536,488
71,0 days 00:00:00.908557,0.22031827607517854,0.005289651468841283,4,8.599815335040265,0.4103577265321602,457
72,0 days 00:00:00.185297,0.020766077958345255,0.016191035594624897,3,130.77986494681667,0.02055037996025929,50
73,0 days 00:00:00.248737,0.0445283109734283,0.27978558520579216,8,84.01589243211762,0.2673213792713579,141
74,0 days 00:00:00.267750,0.2778896166814747,0.07235679814628525,4,1.0552827068242592,0.006411194268021997,38
75,0 days 00:00:00.857563,0.37222635477875166,0.0015220273145906587,4,70.70578797257035,0.1958794579570442,147
76,0 days 00:00:00.518364,0.08010922902244008,0.01055262664901699,4,50.56457461107654,0.23114081870619135,274
77,0 days 00:00:00.555285,0.041582387309039445,0.0026838343068001868,6,6468.086079144384,0.14068574372962384,352
78,0 days 00:00:00.217073,0.1277869416178923,0.002195435686229505,3,321.7962612993178,0.10755185941962526,68
79,0 days 00:00:00.055792,0.07331505344654754,0.07410316999089503,3,1628.9840382494838,0.019037927998342034,24
80,0 days 00:00:00.735304,0.01145719037910162,0.036791846253635976,5,1.9858292251257317,0.3915203055178674,342
81,0 days 00:00:00.528672,0.18367395487917132,0.013574159484344364,6,5.707400682800599,0.0767764496020395,82
82,0 days 00:00:00.093927,0.014279287817289554,0.023200159892465887,5,2110.9180272429103,0.1271800516206396,51
83,0 days 00:00:00.664008,0.14220463462997712,0.006406098742653189,2,1.0983355315209873,0.3326126217174855,325
84,0 days 00:00:00.307661,0.030982429702167098,0.16661544411720794,4,2.747722648595539,0.04137502324031034,155
85,0 days 00:00:00.287361,0.36232232934977043,0.00125251373027983,2,319.95966376121925,0.008290046563460393,115
86,0 days 00:00:00.448538,0.48251694757485497,0.4524507859760014,4,108.5730142276103,0.010723807234480168,267
