number,duration,params_C,params_Kmin,params_alpha,params_max_iter,params_n_iterations
61,0 days 00:00:49.086653,0.5408747748080595,16,0.47951027820154246,10,29
62,0 days 00:00:42.584162,67.85454987403293,37,0.47919800971713533,10,24
63,0 days 00:00:32.556299,71.20653540466681,14,0.576595566385225,10,19
64,0 days 00:00:19.278649,14.056049079970887,21,0.8533109191810947,10,10
65,0 days 00:00:31.540322,0.009356091366237546,12,0.3039940067289617,10,24
66,0 days 00:00:50.687528,1.1192643432355076,14,0.13214717253391406,10,30
67,0 days 00:00:23.708187,20.593855010782715,15,0.7667305589995138,10,12
68,0 days 00:00:30.504785,23.623973217823934,49,0.20538459526092856,10,17
69,0 days 00:00:28.274454,271.370179061637,27,0.2871835772805856,10,16
70,0 days 00:00:18.735746,0.000596961082821361,37,0.2522559130435562,10,19
71,0 days 00:00:23.280160,0.7407639335232078,18,0.15846044497096337,10,12
72,0 days 00:00:37.815320,2.3319035238364294,27,0.43616962543833215,10,22
73,0 days 00:00:22.556029,161.53734006990697,49,0.3483361683686589,10,12
74,0 days 00:00:15.368037,0.000849278287254365,17,0.4055433681731464,10,15
75,0 days 00:00:27.931328,0.05923343589006793,29,0.8018307366513817,10,17
76,0 days 00:00:57.105413,233.21790761002114,26,0.34235181229570877,10,32
77,0 days 00:00:30.064355,0.3155086676956178,38,0.8792941373966201,10,16
78,0 days 00:00:29.835118,0.019075399785698513,27,0.8979903187434471,10,17
79,0 days 00:00:38.865570,14.168951071044955,39,0.7250261991417574,10,22
80,0 days 00:00:52.956421,0.016878069534906424,25,0.1727455726665335,10,44
81,0 days 00:00:17.955033,0.002589784418557628,25,0.2824140107011511,10,15
82,0 days 00:00:23.301832,226.8894834414085,14,0.6536227474061692,10,12
83,0 days 00:00:25.372479,13.190437190585122,13,0.5247771965392619,10,14
84,0 days 00:00:28.812747,87.70356066565189,23,0.6216236991941169,10,16
85,0 days 00:00:26.189531,2120.220877399906,15,0.8538919374308895,10,15
86,0 days 00:00:52.311745,0.05008291961257341,15,0.7067492317197425,10,31
87,0 days 00:00:25.262973,0.10482010919115187,48,0.31816652975027165,10,14
88,0 days 00:00:22.674956,72.40864926772518,46,0.821603773743664,10,13
89,0 days 00:01:02.704803,0.8079677243958056,49,0.6036761681011619,10,38
90,0 days 00:00:19.775210,5061.077360068763,10,0.7840209213197523,10,10
91,0 days 00:00:38.069881,15.358045576136613,39,0.5401068675624213,10,23
92,0 days 00:00:59.500655,8648.418936377167,15,0.32864750521936587,10,35
93,0 days 00:01:02.232513,192.00349080789942,36,0.17947823478638797,10,38
94,0 days 00:00:14.415474,0.0005777483431267639,29,0.8299405574736871,10,12
95,0 days 00:01:07.805749,4530.55251438403,11,0.8126055152838849,10,41
96,0 days 00:00:45.596696,0.003028683469384653,39,0.48778180139451155,10,48
97,0 days 00:00:34.095455,35.34000909967664,38,0.30329587084976845,10,20
98,0 days 00:00:58.499729,6.070726453199544,17,0.5120266198411592,10,35
99,0 days 00:00:21.632983,0.0003697659901822909,14,0.6823150938221347,10,23
100,0 days 00:00:39.496046,34.23767898377796,15,0.575230322680263,10,24
101,0 days 00:00:53.217752,20.92137801661981,25,0.7822207201219981,10,33
