number,duration,params_C,params_a,params_b,params_gamma,params_n_estimators
60,0 days 00:00:00.724340,0.057669522228312925,0.33070016241588895,0.7804404532532967,0.07181428563668824,230
61,0 days 00:00:00.647587,390.9867799541129,0.679214632251736,0.3469139128215721,0.0006834045962159641,97
62,0 days 00:00:00.702333,1199.4996736477901,0.41621914774378266,0.1897017931036317,0.437465484805975,16
63,0 days 00:00:00.753082,0.09142089804022535,0.4741363386721401,0.845713149171252,0.27394658440508235,456
64,0 days 00:00:00.802138,9889.235720458715,0.5140750897180023,0.11680213641374694,0.4892955794025329,33
65,0 days 00:00:00.752248,256.52567797047385,0.4750250527143518,0.6664283951704429,0.6081355470447302,468
66,0 days 00:00:00.713359,85.1573088442167,0.7863179291166826,0.11036446705478925,0.39939031134827596,77
67,0 days 00:00:00.763564,2659.4028971969274,0.829968603547296,0.7127830433405242,0.7351436146145826,213
68,0 days 00:00:00.761680,8.217350364221888,0.6122220962207899,0.7590557264645637,0.9736705441691847,24
69,0 days 00:00:00.552471,0.0002999216972430036,0.527916979261398,0.5846965041203847,0.7252178453499992,10
70,0 days 00:00:00.794433,24.587646415788658,0.7971966433683018,0.908396965702508,0.7194792318465595,89
71,0 days 00:00:00.779839,103.12583649466904,0.5882620329044314,0.02573168002005112,0.8273734704737824,69
72,0 days 00:00:00.615851,0.0005993391784057491,0.13221104528421668,0.2490196957999574,0.5107906493502005,44
73,0 days 00:00:00.639823,23.72208926188336,0.9341280302189883,0.4931688773154991,0.6455751812827252,174
74,0 days 00:00:00.780516,12.211350380647247,0.6651509416100733,0.6563482085096621,0.6524864323242838,17
75,0 days 00:00:00.722630,1.4983694496242663,0.9484731693115216,0.9279008241449699,0.6515877689710058,105
76,0 days 00:00:00.723101,2221.242071062301,0.3870362335351274,0.595751247879573,0.5305819742173516,498
77,0 days 00:00:00.768312,1553.6900091586413,0.6294512833759087,0.9298376429030453,0.9744916440781253,73
78,0 days 00:00:00.752946,0.1127655003796386,0.932503602285248,0.19107677557486205,0.6233193054157927,32
79,0 days 00:00:00.578032,0.2684395860644525,0.532914887773821,0.3950388564003826,0.9451574476941954,353
80,0 days 00:00:00.870021,0.1403720833495366,0.99990592237483,0.09192188128155929,0.6956508294080742,49
81,0 days 00:00:00.776191,8.867551475284039,0.2761231244940373,0.7799374713771355,0.8840471813676316,340
82,0 days 00:00:00.553503,0.006118701282436936,0.26261441472494895,0.28604799598925024,0.7207278113744392,48
83,0 days 00:00:00.712418,0.10343428036305459,0.39109725627335157,0.6326146607965257,0.3444289820542008,67
84,0 days 00:00:00.736166,0.10531269480471861,0.6923970408223303,0.3587509014871319,0.20972656071232665,379
85,0 days 00:00:00.785259,16.282001934978773,0.34910729874407403,0.8140088570796282,0.7049949063070671,20
86,0 days 00:00:00.805841,2126.794732757086,0.37548559926185854,0.7148925631687225,0.9665461989614087,25
87,0 days 00:00:00.675823,1.425918968399773,0.7000386048182818,0.5273001127648544,0.6332744733314684,198
88,0 days 00:00:00.807770,0.616206258904813,0.4796070042636388,0.959938348599177,0.8445454949268952,32
89,0 days 00:00:00.756521,0.01046815792243948,0.6791535743563104,0.20190837157613356,0.4770399900551753,183
90,0 days 00:00:00.591631,0.00013635956570200695,0.34009218141129316,0.6438433766576205,0.5273386748453986,145
91,0 days 00:00:00.796465,100.327570581094,0.9291689932672824,0.8000642213419139,0.8729186688138597,431
92,0 days 00:00:00.666635,6.796130936963945,0.5421266297003378,0.3682132959699554,0.7473119662516364,11
93,0 days 00:00:00.574076,0.01992563582950935,0.937710649014244,0.0842483650193659,0.7034960932269492,330
94,0 days 00:00:00.682541,0.048627932443264785,0.6118076292748681,0.8063063850770232,0.42346353985107554,85
95,0 days 00:00:00.577244,0.00010085367291429395,0.5883824409614322,0.1916731708613349,0.6669196357460827,214
96,0 days 00:00:00.644857,0.010310109309507922,0.3269749187644463,0.1906400297283866,0.39339485668595664,20
97,0 days 00:00:00.787478,0.02074474593156195,0.4242640165857988,0.22219216184240795,0.713575894859397,18
98,0 days 00:00:00.908014,0.0017860189068862667,0.11752998195474205,0.7077756112301868,0.7477530965817947,370
99,0 days 00:00:00.532340,4890.815636527991,0.9682514426650691,0.10399864383726276,0.4626997475534187,50
100,0 days 00:00:00.661164,47.54011384734344,0.19511941101379485,0.4927073850566744,0.7477011962542519,13
101,0 days 00:00:00.565599,0.005611061978376823,0.6906062880510239,0.28379897258618586,0.40682091825319633,40
102,0 days 00:00:00.739059,1.1371450121193547,0.33042752665640596,0.4672001376747355,0.9028852392871943,14
103,0 days 00:00:00.456999,0.0003045686719436406,0.5366254958367865,0.2531802012678093,0.3857346651512612,38
104,0 days 00:00:00.682578,35.36339304144531,0.3215999200126528,0.7505908707927226,0.901635350861952,26
105,0 days 00:00:00.663394,0.022293633012615995,0.42008759245361127,0.6279229160632259,0.05971482888947077,59
106,0 days 00:00:00.622567,0.002932654705390092,0.39567385866207394,0.48881837114267956,0.5111536215349656,31
107,0 days 00:00:00.583069,0.0001225784462671442,0.16588482992142684,0.743655275854285,0.42233831265973965,31
108,0 days 00:00:00.699348,0.23592605518663598,0.5924940901590213,0.3447288292350985,0.8921442361800921,31
