number,duration,params_a,params_b,params_gamma,params_n_estimators
44,0 days 00:01:42.718396,0.258028057215571,0.763611415026792,0.10759111223084139,112
45,0 days 00:01:42.526147,0.9333396201073736,0.9295156258332801,0.7339029605982641,21
46,0 days 00:01:44.958027,0.7442576235266276,0.5408910470639988,0.9406899127896793,32
47,0 days 00:01:45.194100,0.9590307966609588,0.5209768409264359,0.8027841246878225,99
48,0 days 00:01:47.774475,0.929316897985873,0.38439140932893934,0.7972929775004738,198
49,0 days 00:01:47.760528,0.18622535591830047,0.8261863287207443,0.9434819037867072,15
50,0 days 00:01:36.205890,0.4273218115273104,0.8411116878377386,0.8788840461288202,139
51,0 days 00:02:21.325783,0.16270650344748983,0.2795936411858324,0.6855224098530229,348
52,0 days 00:02:00.082818,0.7914001219524859,0.30984146430237564,0.3602088793292658,46
53,0 days 00:02:05.861211,0.6251449358017103,0.8050303924522547,0.8569022156862541,52
54,0 days 00:02:05.527378,0.44535701962792207,0.7076341836009552,0.2664027566929972,129
55,0 days 00:02:00.085739,0.2942670815258154,0.39862563455341266,0.6946669059680197,19
56,0 days 00:01:56.905170,0.1400381824430262,0.7019295464553117,0.271765760225428,59
57,0 days 00:02:02.013837,0.4619600300870169,0.18789268858848204,0.48404742717511406,10
58,0 days 00:02:02.464222,0.17121655948639064,0.8856232677877838,0.45632651405987257,90
59,0 days 00:01:54.117906,0.5839965599280792,0.09921437835671833,0.13084243336505263,359
60,0 days 00:02:05.845522,0.36791642354493326,0.9571406381388344,0.3816997251338108,15
61,0 days 00:01:39.821842,0.2298472462746624,0.47466233540232833,0.14593803007048367,204
62,0 days 00:01:31.004214,0.2066638588727286,0.7703013947599135,0.5054122487478667,25
63,0 days 00:01:32.296985,0.5505625697771956,0.9136216310514855,0.00909617308569266,160
64,0 days 00:01:52.175888,0.7968462099973521,0.5590922282478894,0.13722485619835578,26
65,0 days 00:01:49.634233,0.9542841147048057,0.1288563006467317,0.06773696431016973,384
66,0 days 00:01:47.075987,0.6748915841415111,0.79984996133415,0.1823650465854435,100
67,0 days 00:01:51.093354,0.259650695140596,0.8677495367981705,0.4940086276070955,402
68,0 days 00:01:51.100293,0.25334355195339286,0.7990927534574497,0.05695738444328158,271
69,0 days 00:01:40.678449,0.2590814073091614,0.9318676296526209,0.9056087846552368,350
70,0 days 00:01:38.429026,0.5126514424684577,0.6009616998366648,0.9629296408879431,27
71,0 days 00:01:33.922749,0.13752730057040433,0.2923385687491138,0.15419029502075499,280
72,0 days 00:01:48.747506,0.978863640186358,0.17903418892825326,0.07227733901533229,127
73,0 days 00:01:47.204936,0.7819854253228731,0.32743497290396595,0.06989869643700186,21
74,0 days 00:01:24.710869,0.518992232177237,0.02212908126334269,0.5955138228787292,26
75,0 days 00:01:22.742907,0.32422462608328106,0.895606988851984,0.7106128223197636,17
76,0 days 00:01:41.795198,0.105036935747022,0.2740173218823613,0.8205711389977296,116
77,0 days 00:01:38.930351,0.36539801395963356,0.2667175866720777,0.2816183116089064,31
78,0 days 00:01:53.029469,0.8308735795305145,0.15203228979595096,0.7426888547017624,45
79,0 days 00:01:56.506465,0.45952043807586485,0.6014112226088182,0.9395354933388208,14
80,0 days 00:01:36.430896,0.7218054626433386,0.4936056977043817,0.7550866591493329,10
81,0 days 00:01:44.131091,0.5073012337764315,0.1821873590630762,0.554415489125842,140
82,0 days 00:01:58.947893,0.32998302314939276,0.5573957028607839,0.4123170235288368,181
83,0 days 00:01:38.073325,0.5101753198543288,0.3122663518082154,0.5898854078715187,25
84,0 days 00:01:51.671325,0.5050269325682146,0.6916362872802857,0.30311029489056374,10
85,0 days 00:01:51.700947,0.2744103360350264,0.7056265847026175,0.07991437039183003,11
86,0 days 00:01:41.828283,0.7085666720445276,0.7172913341275948,0.6498474270502604,57
87,0 days 00:01:41.147377,0.3082672921189088,0.7877306746368157,0.10249082038085577,60
88,0 days 00:01:29.586495,0.37764392938605973,0.9360836024728256,0.23732375162635833,45
89,0 days 00:01:50.630874,0.1509860584191767,0.7148141487021702,0.2114654611091613,455
90,0 days 00:01:50.209840,0.3909785287569555,0.7841405957283842,0.5715110209868625,12
91,0 days 00:01:32.952949,0.6447266353216122,0.9864605230074204,0.7393097188934122,154
92,0 days 00:01:48.327593,0.6238602707251074,0.6851009299083313,0.9618025647868883,17
93,0 days 00:01:36.420763,0.7438477036586998,0.9683390733897618,0.2575701767459794,210
94,0 days 00:01:47.821521,0.7042289405072311,0.8166054424274592,0.07634554378086367,274
95,0 days 00:01:53.855574,0.6354975400061427,0.1961024338871467,0.5356875326331068,109
96,0 days 00:01:53.244645,0.34123642874351967,0.4289728972787189,0.7055911310863899,26
97,0 days 00:01:52.169367,0.1464049341875098,0.620793215628979,0.7150514594248041,11
98,0 days 00:01:50.843876,0.8572834849844876,0.18159703520539885,0.3284967193922017,297
99,0 days 00:01:23.499137,0.41389219265509625,0.793253139548084,0.11758116633814153,281
100,0 days 00:01:30.089034,0.7992156700600804,0.5348811092312805,0.41752521938037324,65
101,0 days 00:01:41.464316,0.5008699695850432,0.24614264488871915,0.30283890614613873,31
102,0 days 00:01:48.032835,0.10168819484644745,0.13554599544685636,0.8503064837550143,80
103,0 days 00:01:29.940283,0.9481707697455664,0.5124621975553714,0.1437022005345524,100
104,0 days 00:01:32.675690,0.5520363245664943,0.42047674709181143,0.4179028919488488,10
105,0 days 00:01:52.170356,0.7246558237155709,0.02803735031694385,0.3772584606402708,174
106,0 days 00:01:49.630253,0.35316822264918846,0.7234080363366275,0.05657289142471722,46
107,0 days 00:01:52.163348,0.684203986876921,0.08146843552895516,0.2059601569881503,440
108,0 days 00:01:51.887070,0.5726092819754097,0.9744435320380561,0.33785732012003167,462
109,0 days 00:01:47.381086,0.4625205673474425,0.9369185365133643,0.8159906291999722,39
110,0 days 00:01:43.990587,0.7707332473645228,0.0227734026762254,0.562537188869338,13
111,0 days 00:01:42.483678,0.8870705358250437,0.6758228081463882,0.5376582789999895,23
112,0 days 00:01:41.693247,0.20894550741075052,0.3377463869437061,0.5609582916347495,252
113,0 days 00:01:37.958648,0.5757001556599443,0.7238065539510582,0.48197137126109124,274
114,0 days 00:01:37.211937,0.28984791642944574,0.6209319367767224,0.48705700750490755,41
115,0 days 00:01:45.949275,0.6390039457306499,0.467755668465999,0.8521757196038929,12
116,0 days 00:01:51.761122,0.9304730827787026,0.04507549694082421,0.08231408382516403,67
117,0 days 00:01:37.866778,0.18023619958943976,0.5845696519771014,0.7708344391705683,34
118,0 days 00:01:51.560564,0.7634140612759746,0.029119231915092365,0.09974862528516004,445
119,0 days 00:01:51.267753,0.9146857307838653,0.33708509128675807,0.26258868219041787,53
120,0 days 00:01:54.308442,0.9059679049038613,0.2922691866623671,0.5682426691946852,61
121,0 days 00:01:41.914652,0.124883307779926,0.8316631292176513,0.9946485882925686,11
122,0 days 00:01:45.254043,0.5639179404211673,0.05514223799058614,0.17862386342580983,11
123,0 days 00:02:09.142957,0.14364299064849528,0.3052194029868704,0.4013835534221667,101
124,0 days 00:01:50.711189,0.4642595143757795,0.988109376608566,0.5304861623991222,195
125,0 days 00:01:52.655540,0.3329427458806733,0.38788913437600686,0.8551269185644719,16
126,0 days 00:01:53.657998,0.64171739047684,0.05433524560887195,0.5517032350773402,26
127,0 days 00:02:01.569645,0.21583799493918032,0.5468427983330216,0.8976019604512769,45
128,0 days 00:01:54.761873,0.41425732746036503,0.4317832282455577,0.2895340618368152,12
129,0 days 00:01:58.526117,0.6358584826782528,0.2802163296738678,0.0011322784585551249,16
130,0 days 00:01:56.610156,0.6281179179550993,0.7270125247384203,0.23488151631857868,271
131,0 days 00:01:47.738552,0.8747571282045178,0.038212638496486075,0.9607776396781057,120
132,0 days 00:01:46.963806,0.44610094212089024,0.13890399501406983,0.661423569379828,236
133,0 days 00:01:54.514830,0.7628144226430047,0.7564734285624176,0.8724019271916019,202
134,0 days 00:01:43.263581,0.1970673981175946,0.6786400676178918,0.08974795830795734,257
135,0 days 00:01:38.061979,0.1377070843495446,0.3136309230637018,0.5885178694755868,69
136,0 days 00:01:37.464915,0.7757411644904701,0.3238284929670922,0.31954313774755205,22
137,0 days 00:01:31.885380,0.6395204958097336,0.2554249340049227,0.8239081341668891,228
138,0 days 00:01:56.037974,0.7388322620273491,0.5043338394055934,0.5052258609534271,149
139,0 days 00:01:49.377886,0.8907534096800788,0.8412577872278418,0.9204693556598953,18
140,0 days 00:01:52.086990,0.3608955191452162,0.11891544080002883,0.8790624313479293,366
141,0 days 00:01:42.317206,0.6992949711178552,0.0327039736394321,0.10465325285424254,60
142,0 days 00:01:27.472202,0.7557428531888472,0.08088559971942615,0.7784884791538496,24
143,0 days 00:01:29.221875,0.31421350082841304,0.24482767464673358,0.35472620464037097,62
144,0 days 00:01:45.847833,0.9999536471823067,0.6225002867309615,0.6029576766178193,105
145,0 days 00:01:47.006244,0.17820169734388608,0.4897612088100359,0.2331157423351362,19
146,0 days 00:01:46.515893,0.6009206221149616,0.32643274224147456,0.7066058676418029,80
147,0 days 00:01:46.783613,0.6296214584156121,0.10669193017999608,0.26456851907337087,257
148,0 days 00:01:19.385005,0.5598553835548614,0.7900196881355561,0.2876905711944001,153
149,0 days 00:01:25.637921,0.7892949911977486,0.4878952126820098,0.40500808073364636,67
150,0 days 00:01:47.271108,0.38225566435171865,0.0652372501509868,0.13234187430757993,25
151,0 days 00:01:53.613575,0.7107292454266614,0.7437071743197251,0.5426802045680723,231
152,0 days 00:01:45.462246,0.9210461113036518,0.6304973198829493,0.2299720862262763,17
153,0 days 00:01:41.452944,0.22095709024563942,0.2656598644915143,0.954521916273756,69
154,0 days 00:01:40.787141,0.45903212371053803,0.27049821137511076,0.08123364032166014,11
155,0 days 00:01:57.066330,0.8531767820533688,0.625018235503734,0.6785617690787258,14
156,0 days 00:01:57.005123,0.2242499910514932,0.16965803085151038,0.24489794364255113,30
157,0 days 00:01:48.714915,0.9618958837140008,0.7153010339401424,0.18436773868181855,25
158,0 days 00:01:49.863631,0.75795975801307,0.7690387713329321,0.5857135859087349,229
159,0 days 00:01:50.004051,0.6709719552570643,0.9292952183281656,0.8189094489435765,19
160,0 days 00:01:21.715457,0.7848898761952177,0.3685583252400298,0.07305033812397488,37
161,0 days 00:01:57.025454,0.13229299133331346,0.5942404291196606,0.468614821252874,213
162,0 days 00:01:59.174920,0.8220361340038027,0.5065512165607177,0.7811346178251184,351
163,0 days 00:01:47.373406,0.7293311994686402,0.5756207022381623,0.4359967417346444,65
164,0 days 00:01:33.776275,0.9459941744394201,0.7181166441752209,0.41318610891098273,82
165,0 days 00:01:15.377519,0.4284248320893488,0.020576921298573074,0.7460373660969635,57
166,0 days 00:01:42.083225,0.22143553051195325,0.19970037332809065,0.5210712266984655,194
167,0 days 00:01:55.797049,0.22385848264988162,0.4654260800402006,0.46693569813909963,162
168,0 days 00:01:58.145843,0.19377350956329278,0.5571409089624914,0.35363078864706976,296
169,0 days 00:02:00.460433,0.5709393532924869,0.13483916351171693,0.4478905717254421,24
170,0 days 00:01:57.398163,0.9499819556139382,0.6535747397404053,0.7202530100601559,19
171,0 days 00:01:39.173583,0.38753578004902334,0.8532853831553888,0.07268527883405163,18
172,0 days 00:01:55.383744,0.6042020990015288,0.540941657711882,0.1963614080403413,218
173,0 days 00:01:45.945380,0.3631656450574734,0.332970867401189,0.3647295159869923,24
174,0 days 00:01:46.063834,0.17688876417992586,0.6265840576260335,0.3877840545202399,58
175,0 days 00:01:45.573358,0.9337640365944753,0.17631445509943042,0.6857141596732502,53
176,0 days 00:01:54.544599,0.6404333550467334,0.07694810333726672,0.7114536584906617,15
177,0 days 00:01:44.723703,0.7658800543564783,0.7017756412404664,0.8110684996586077,68
178,0 days 00:01:42.042495,0.24203909316419644,0.7495465209649016,0.5233007353555884,344
179,0 days 00:01:42.109139,0.8348511196527694,0.7651205485927067,0.6523081735762786,241
180,0 days 00:01:50.957053,0.891373625221649,0.9423280396596252,0.023732440000555743,161
181,0 days 00:01:24.678189,0.44283261992682776,0.2751098673522681,0.36392375518304054,135
182,0 days 00:01:46.059203,0.7788517654090666,0.14636421096112712,0.5631945442774304,339
183,0 days 00:01:43.824974,0.4383104520904315,0.7183607923157999,0.8723475084680357,10
184,0 days 00:01:58.322882,0.8036875046561998,0.9729049970199897,0.15989787753286577,129
185,0 days 00:01:52.271990,0.17191560922248297,0.5366846014203704,0.042174581403746636,248
186,0 days 00:02:07.671064,0.2030126686928454,0.6986788054009775,0.31600853595337475,127
187,0 days 00:02:03.579005,0.8757602120304292,0.44760388242602644,0.8736727580852126,11
188,0 days 00:02:04.121914,0.8365848853673855,0.8441591391297315,0.6281021755798749,10
189,0 days 00:01:59.841916,0.3486317101552823,0.4265807702275113,0.16825650483890298,55
190,0 days 00:01:53.154137,0.888652291459336,0.16617047317605993,0.6737811051200063,16
191,0 days 00:01:58.340149,0.7350129954662227,0.4007143259124096,0.7005235985824846,20
192,0 days 00:01:56.096842,0.12127567712879513,0.34620897264685896,0.9794107414888937,101
193,0 days 00:01:52.110409,0.7134175680424064,0.6906298332149665,0.054139234642584966,46
194,0 days 00:01:58.901937,0.5687308326595594,0.054928034766212476,0.15072895861504254,265
195,0 days 00:01:58.978826,0.38123175561912925,0.10729205030325688,0.947596093826048,28
196,0 days 00:01:41.186746,0.827845058631216,0.1572831947458302,0.13611294739815927,71
197,0 days 00:01:20.849232,0.21609594700165727,0.8413520417903887,0.641087953972264,126
198,0 days 00:01:46.269366,0.821434020601811,0.026173564041094007,0.7182568001271017,14
199,0 days 00:01:47.386434,0.7124292441358172,0.46457076531215225,0.7569331958924571,14
200,0 days 00:01:43.856212,0.5939359188654895,0.6720888577423227,0.4851735324299272,34
201,0 days 00:01:38.738995,0.1556073018552599,0.010908425137940825,0.5047408185036549,46
202,0 days 00:01:40.081609,0.6857449563489477,0.914800267116211,0.7808549594107382,46
203,0 days 00:01:56.350083,0.8455454171453931,0.6747831384533091,0.45878463678679937,56
204,0 days 00:01:46.860739,0.8052366023082671,0.7049180667263538,0.2177574094432586,48
205,0 days 00:01:39.233312,0.8435767892870991,0.4449871590646465,0.43545905569220367,169
206,0 days 00:01:47.394500,0.902063268384508,0.8572492837667843,0.34724391840709234,173
207,0 days 00:01:28.619417,0.49984580022978287,0.7575442347144877,0.4257689246635159,27
208,0 days 00:01:46.324728,0.30733874229426456,0.44783283463714335,0.8626740955503003,118
209,0 days 00:01:45.763708,0.7463217802828093,0.20313439651680074,0.21139706903746935,129
210,0 days 00:01:25.078135,0.3582787636429482,0.7846894838403647,0.35521401942827313,31
211,0 days 00:01:56.608392,0.496151975392882,0.4512619766298309,0.40799679575158476,492
212,0 days 00:01:37.844293,0.3852779611536695,0.04083087052387417,0.8221456626304939,12
213,0 days 00:01:28.471826,0.39100418951054927,0.7252298448024135,0.26094437147675686,491
214,0 days 00:01:33.973144,0.743342663809415,0.5973466618273824,0.943580168459213,52
215,0 days 00:01:33.448666,0.9343104049108106,0.41472806485976405,0.12460163450282957,115
216,0 days 00:01:51.889504,0.4966565778514087,0.6990051463732407,0.11551726123478623,23
217,0 days 00:01:53.585576,0.7968711308656458,0.6316665452484188,0.4715899330713976,470
218,0 days 00:01:51.477617,0.17947808893337117,0.5838076775226342,0.023728356743747847,87
219,0 days 00:01:38.574466,0.3979099247965009,0.2962202351151313,0.44812045341862383,16
