fold,trial,model,params,roc,acc,eod,spd,eq_loss
6,0,XtremeFair_grad,"{'min_child_weight': 167.14202011339256, 'n_estimators': 71, 'eta': 0.022085924070569182, 'max_depth': 9, 'l2_weight': 0.012107783602385791, 'fair_weight': 8.423763163600002, 'multiplier_learning_rate': 0.010857041154957257}",0.5,0.29,0.0,0.0,0.012322967869885071
6,1,XtremeFair_grad,"{'min_child_weight': 0.8961995643561078, 'n_estimators': 15, 'eta': 0.014236796345083916, 'max_depth': 9, 'l2_weight': 69.02536216702144, 'fair_weight': 0.03522722312375877, 'multiplier_learning_rate': 0.0050526150510719426}",0.6560223409422049,0.29,0.0,0.0,0.0011031287030002224
6,2,XtremeFair_grad,"{'min_child_weight': 481.157019201308, 'n_estimators': 24, 'eta': 0.03064862151373196, 'max_depth': 3, 'l2_weight': 200.61382643871946, 'fair_weight': 9.594964594931307, 'multiplier_learning_rate': 0.019112427788006564}",0.5,0.29,0.0,0.0,0.0
6,3,XtremeFair_grad,"{'min_child_weight': 699.9457477944675, 'n_estimators': 273, 'eta': 0.016473181244084666, 'max_depth': 2, 'l2_weight': 0.14892123674439028, 'fair_weight': 8.715600917793735, 'multiplier_learning_rate': 0.025315006692986277}",0.5,0.29,0.0,0.0,0.06450387338665842
6,4,XtremeFair_grad,"{'min_child_weight': 0.27132939598472505, 'n_estimators': 21, 'eta': 0.25725152727657213, 'max_depth': 8, 'l2_weight': 210.19298572874354, 'fair_weight': 0.020946377767498334, 'multiplier_learning_rate': 0.04676594207937533}",0.732394366197183,0.685,0.12452407614781635,0.08940972222222221,0.046731172554314915
6,5,XtremeFair_grad,"{'min_child_weight': 259.5403031607855, 'n_estimators': 34, 'eta': 0.026273368613333046, 'max_depth': 10, 'l2_weight': 62.46901825250285, 'fair_weight': 0.023994098829376916, 'multiplier_learning_rate': 0.10935213896415097}",0.5,0.29,0.0,0.0,0.0
6,6,XtremeFair_grad,"{'min_child_weight': 0.06476450222335832, 'n_estimators': 36, 'eta': 0.11399600076916792, 'max_depth': 4, 'l2_weight': 0.43315949108261453, 'fair_weight': 4.198364486588915, 'multiplier_learning_rate': 0.008123079113076848}",0.771369596891695,0.67,0.07077267637178053,0.0703125,0.07183479829561251
6,7,XtremeFair_grad,"{'min_child_weight': 0.002176101801382772, 'n_estimators': 331, 'eta': 0.3130198560784535, 'max_depth': 7, 'l2_weight': 2.53512477519878, 'fair_weight': 0.010434692380408306, 'multiplier_learning_rate': 0.30374099016380335}",0.7169742593491987,0.715,-0.023516237402015694,-0.07204861111111116,0.05185504018116616
7,0,XtremeFair_grad,"{'min_child_weight': 0.42302940663716576, 'n_estimators': 24, 'eta': 0.014086850415043158, 'max_depth': 10, 'l2_weight': 0.4008637018130758, 'fair_weight': 1.6523482346043716, 'multiplier_learning_rate': 0.33521256949203576}",0.6840092277804759,0.705,0.0087346024636058,-0.0078125,-0.0029076692446811103
7,1,XtremeFair_grad,"{'min_child_weight': 2.028273565460032, 'n_estimators': 319, 'eta': 0.2740098337537503, 'max_depth': 10, 'l2_weight': 161.9377710006941, 'fair_weight': 4.367063435855028, 'multiplier_learning_rate': 0.08881627307667408}",0.731301602719767,0.76,0.030683090705487137,-0.05642361111111116,-0.05539725150367947
