number,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators
69,0 days 00:00:00.967542,0.01829190200695038,4,0.0015519188673366474,233
70,0 days 00:00:00.684558,0.22918760795504073,2,17.715937237887342,351
71,0 days 00:00:01.040391,0.029985554022217555,4,0.02179817819238334,232
72,0 days 00:00:00.711375,0.20056807787575218,3,1.095680706823842,240
73,0 days 00:00:02.876500,0.14805358210736988,6,0.0013326869623827388,390
74,0 days 00:00:04.292893,0.33969373266369646,5,0.1758555365370704,632
75,0 days 00:00:04.291101,0.013808737926204486,6,7.443286699353882,492
76,0 days 00:00:01.646093,0.0304847414604045,2,0.02731897551337853,823
77,0 days 00:00:05.011999,0.29313901127932157,6,10.442744450763957,779
78,0 days 00:00:01.335272,0.2102767763452071,3,0.11743903621774027,550
79,0 days 00:00:01.654220,0.07178746437084978,4,0.11145682157101454,480
80,0 days 00:00:00.498500,0.11437571244322564,3,0.001964017234328701,276
81,0 days 00:00:00.970656,0.04721661277742612,3,0.00832393122186893,382
82,0 days 00:00:01.397277,0.07092087752612428,6,0.03764935299389346,223
83,0 days 00:00:00.665963,0.01702648137693622,3,0.004402716151596284,205
84,0 days 00:00:01.768316,0.4488223871082109,4,1.1219089928612556,432
85,0 days 00:00:00.714506,0.013982271506314342,3,37.41221939304972,253
86,0 days 00:00:02.045482,0.14913606654029593,5,33.47465166623822,442
87,0 days 00:00:00.489025,0.10503977897546862,2,0.012560935608573923,254
88,0 days 00:00:01.017110,0.1414371848572271,5,0.0019917351037807454,325
89,0 days 00:00:00.727932,0.012241179814556238,2,0.006610327192126954,420
90,0 days 00:00:00.942728,0.13976173659506136,4,0.001932136450655916,311
91,0 days 00:00:01.208460,0.027546433073945692,3,0.0060107421064350955,450
92,0 days 00:00:02.748996,0.3305840779797816,6,11.538642826510952,741
93,0 days 00:00:02.085433,0.18547159102421198,5,0.10670124162769765,519
94,0 days 00:00:00.882804,0.35219982009724077,3,0.014730710937588352,375
95,0 days 00:00:01.618544,0.019821919205680587,5,68.14053105560068,362
