number,duration,params_C,params_Kmin,params_alpha,params_n_iterations
79,0 days 00:00:39.109965,0.003302352593268325,44,0.14649370771092515,357
80,0 days 00:00:26.389388,0.00036897976064041526,17,0.5875240872805544,407
81,0 days 00:00:39.877653,0.060545884673432776,33,0.3235247487433861,242
82,0 days 00:00:05.205250,67.59168869951843,32,0.6096050004492196,15
83,0 days 00:00:43.423926,0.04337388300614187,27,0.6963408864166956,266
84,0 days 00:00:06.277934,0.032558655872605126,11,0.2275490925962692,30
85,0 days 00:00:05.767348,0.06251692326218232,35,0.3849837456454238,33
86,0 days 00:00:08.778678,0.018003777664151066,28,0.3178871280882075,47
87,0 days 00:00:02.308724,0.07059638859398266,11,0.6763425060565187,10
88,0 days 00:00:41.532563,776.1750467954496,38,0.6077480355658731,276
89,0 days 00:00:08.811814,0.021409370276955098,41,0.618761393892841,45
90,0 days 00:00:12.252974,0.00786103403695031,30,0.8579234220732359,71
91,0 days 00:00:05.413436,49.22367964929263,20,0.6047256647706701,18
92,0 days 00:00:52.388221,0.0706272356194869,14,0.7163014657403851,309
93,0 days 00:00:36.739040,8.221558534462623,17,0.6114038031006337,230
94,0 days 00:00:03.974025,0.00017084402031523506,43,0.5951156381327235,56
95,0 days 00:00:04.183116,1651.5538276232803,49,0.45810704030889626,14
96,0 days 00:00:18.963223,0.8177476729070267,41,0.14311163589479606,79
97,0 days 00:00:12.672433,1.1930046264559946,33,0.2564469301840263,56
98,0 days 00:00:25.112411,0.004322374472486481,34,0.6397414790913883,188
99,0 days 00:00:48.996917,0.1872799381416411,35,0.7766835439718384,278
100,0 days 00:01:16.465701,14.671616563058066,36,0.41924255570623814,479
101,0 days 00:00:04.105588,0.04739999438421031,24,0.33827073323111706,23
102,0 days 00:00:19.535801,0.0005257242774527769,30,0.6241801292641989,293
103,0 days 00:00:11.769484,71.39798539847023,41,0.27370184627974226,45
104,0 days 00:00:39.820750,9.249707233873055,14,0.43310538406910404,226
105,0 days 00:00:25.155619,0.0343634565490773,11,0.886317356810161,139
