number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_multiplier_learning_rate,params_n_estimators
44,0 days 00:00:06.392635,0.022813219402804764,0.013948955846285794,4,0.32903060325514377,263
45,0 days 00:00:09.850337,0.27071719742407335,0.0510442463553474,5,0.008704816274014987,381
46,0 days 00:00:07.103662,0.003843288721909685,0.09501995331754493,4,0.10012949655290254,306
47,0 days 00:00:08.347042,0.002226872778648656,0.019858748955333027,4,0.2683572589458056,342
48,0 days 00:00:05.047306,0.15429233170458637,0.045348460857080955,2,0.03635568974330911,230
49,0 days 00:00:16.476515,0.09374686424491488,0.034233443964613725,4,0.024902765663948712,676
50,0 days 00:00:06.681661,0.15663944650677256,0.11063991634739458,6,0.004556550659895074,236
51,0 days 00:00:14.869366,0.5122110467285169,0.02335909698019615,2,0.0013057231465370932,694
52,0 days 00:00:15.010972,0.18619205785726817,0.0984476271372514,4,0.004771920733262613,644
53,0 days 00:00:05.889724,0.3894293282168458,0.07437222233530037,3,0.008678135801257921,260
54,0 days 00:00:13.811453,0.03245214862294043,0.4579029699248208,2,0.011459306454493792,648
55,0 days 00:00:15.761905,0.009052154948598554,0.158334834512192,3,0.4269583874108014,718
56,0 days 00:00:08.838770,0.010877196369713224,0.02020536992606451,6,0.01975467715305912,319
57,0 days 00:00:14.224347,0.030679645784956185,0.1062452768652482,2,0.00208252700779181,672
58,0 days 00:00:05.290096,0.009268311340189243,0.06022489137368085,2,0.007148682656270261,239
59,0 days 00:00:10.253462,0.006923747875862679,0.013271533441829056,4,0.2729209695707169,440
60,0 days 00:00:20.416927,0.01262230683831541,0.05682624410963399,3,0.1353831135384265,952
61,0 days 00:00:10.268253,0.008175619524965549,0.031125957356978273,3,0.039379276565207864,473
62,0 days 00:00:05.386774,0.1367639797553184,0.01704772634630502,6,0.03932844760950458,203
63,0 days 00:00:09.238216,0.3176471269800668,0.3052211749344807,2,0.0037768973962869364,441
64,0 days 00:00:04.318132,0.004883175512206626,0.035357186620843424,2,0.02333500623519942,203
65,0 days 00:00:06.890705,0.001324740419800851,0.015874268540069455,4,0.01971129772834548,289
66,0 days 00:00:19.594933,0.6201808663075369,0.0419023242628884,3,0.029719538996162358,879
67,0 days 00:00:06.633102,0.005409139942206139,0.01573421694208522,4,0.0021649705671639512,266
68,0 days 00:00:11.572786,0.24264053714153452,0.2986339468304712,5,0.0012227241812576015,476
69,0 days 00:00:09.556550,0.05833336112487607,0.025941877296954474,3,0.10788783765908674,439
70,0 days 00:00:14.578345,0.700843263701157,0.12209531647242308,6,0.12605034266178594,542
71,0 days 00:00:15.834134,0.0049790841120149025,0.3081638884779776,6,0.0022250936830295587,588
72,0 days 00:00:06.561106,0.08579012673088479,0.013292510361110432,3,0.004764458504113314,300
73,0 days 00:00:07.380053,0.006250431120205928,0.027051295538019184,2,0.0022057828529857574,351
74,0 days 00:00:04.503558,0.022813477429463127,0.081341352584304,2,0.0075889531113755015,214
75,0 days 00:00:06.442798,0.030053655097179728,0.021827032362038916,2,0.008541152799707703,307
76,0 days 00:00:05.042431,0.5432131409711496,0.010557383501584404,3,0.013083429194360195,222
77,0 days 00:00:15.896875,0.008548455492323597,0.024858435249448453,2,0.1366152253785773,752
78,0 days 00:00:12.996741,0.018026465872995223,0.15764696414375798,5,0.0010335503996180657,491
79,0 days 00:00:11.285349,0.0015217190200113582,0.2593873912735619,4,0.2767579746322773,484
