number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_multiplier_learning_rate,params_n_estimators
52,0 days 00:00:23.177809,0.851331842997315,0.012201386607959311,6,0.0805442745258681,635
53,0 days 00:00:14.022807,0.028864677303890102,0.3651406627374843,5,0.001434739830615968,445
54,0 days 00:00:05.242301,0.8321781667590703,0.06544690930504861,3,0.14650321136682107,201
55,0 days 00:00:08.801129,0.332813458111206,0.1744674542957247,3,0.001072964704747625,369
56,0 days 00:00:05.481229,0.0011283515844555797,0.21256885617796215,3,0.0038796174355262597,226
57,0 days 00:00:07.888532,0.10231988706076378,0.06056645671689081,2,0.009346347620490175,387
58,0 days 00:00:31.168684,0.027168321949185892,0.03858906115513979,6,0.16332190512962036,876
59,0 days 00:00:24.767811,0.024368828244905737,0.03059129271981756,4,0.035933530002570276,955
60,0 days 00:00:10.517274,0.037331744408507075,0.43031410407481197,6,0.09244737034860266,297
61,0 days 00:00:24.515627,0.0061681972923551065,0.16101499240874037,4,0.0036301660218754097,932
62,0 days 00:00:10.566179,0.024041133143777763,0.05008871815869276,6,0.0021660337404371334,289
63,0 days 00:00:10.798408,0.05410107337590461,0.19323428686234737,6,0.001954877467919953,263
64,0 days 00:00:06.947511,0.01824800797433878,0.13258484191160455,2,0.05633235076324355,341
65,0 days 00:00:11.613126,0.11330169383233389,0.06968390397282886,6,0.0035125866051396075,317
66,0 days 00:00:11.154318,0.004700057715316157,0.19257992728306103,3,0.003726960490492626,452
67,0 days 00:00:05.481965,0.19529972033594728,0.012952431156643048,3,0.0017917050201503577,202
68,0 days 00:00:20.391993,0.7362870568155127,0.01783403928576296,5,0.0022135202397127493,553
69,0 days 00:00:17.716800,0.1007406605877042,0.19820852272183678,2,0.3494855758848496,791
70,0 days 00:00:22.182168,0.11347263259459486,0.024471783831431747,5,0.012039917076615846,712
71,0 days 00:00:09.600924,0.1456389888551853,0.04942034042001338,5,0.33446274307280827,294
72,0 days 00:00:25.233583,0.016764531222959466,0.2540455297892823,6,0.0016667805454006963,724
73,0 days 00:00:10.419198,0.3422356429581226,0.2238831838662959,3,0.059654606456021456,422
74,0 days 00:00:31.765749,0.4324755390949517,0.047828916709009676,6,0.001083794175304611,887
75,0 days 00:00:08.005133,0.2300886943968608,0.05152059725808092,3,0.005396844375284356,301
76,0 days 00:00:05.250757,0.5969006097356304,0.0174828000877957,3,0.01860352743224803,204
77,0 days 00:00:19.235163,0.001844008872766581,0.05953087748260292,6,0.00869241257970825,534
78,0 days 00:00:07.247591,0.05888503521624083,0.15300867415692734,5,0.008436985552142047,222
79,0 days 00:00:07.894326,0.003732259370096619,0.2805474869299244,6,0.0012285885329065582,212
80,0 days 00:00:09.106979,0.46462433822774174,0.11648327749194089,6,0.03793530191644445,244
81,0 days 00:00:19.579045,0.021884424882433823,0.10578249903816506,4,0.04563083755335994,763
82,0 days 00:00:15.262118,0.3907832601210538,0.4680199141320646,2,0.0696901558571838,795
83,0 days 00:00:13.634087,0.1109261483879771,0.010065293580192805,5,0.001434108396951214,371
84,0 days 00:00:11.547992,0.06333863190339145,0.019051563746296428,5,0.4511946690674429,279
85,0 days 00:00:26.485153,0.03357413035616532,0.012736960227442608,5,0.06919355076244653,810
86,0 days 00:00:07.915477,0.103102466182032,0.018369273069820044,4,0.03212312513054367,254
87,0 days 00:00:15.851078,0.010964795169179467,0.031699720885139206,6,0.001770594966345291,421
88,0 days 00:00:11.707761,0.03219149168059222,0.41020545769841726,5,0.21149648736745713,366
89,0 days 00:00:04.614988,0.2554332919269002,0.10544013796439095,2,0.005835751620549697,204
90,0 days 00:00:07.044986,0.004118094659716473,0.02786467511984269,3,0.24516065044906363,264
91,0 days 00:00:20.336995,0.3364306776955185,0.22491292351025757,5,0.14329120658882813,735
92,0 days 00:00:19.288587,0.0050029928090116055,0.2102233626532522,3,0.005174674644002121,945
93,0 days 00:00:23.427245,0.16080489986814617,0.017641292244688425,6,0.30825663818338267,994
94,0 days 00:00:13.380540,0.5651124758285988,0.010195955075902872,2,0.008148153471603744,623
95,0 days 00:00:17.011093,0.05193993543018299,0.08820760888236129,4,0.38868629544088606,806
96,0 days 00:00:17.526521,0.04118838370955226,0.04033641210774027,6,0.3074632766235457,799
97,0 days 00:00:07.459641,0.13544695007369054,0.023136746832490753,2,0.002861436202585499,326
98,0 days 00:00:12.891388,0.0016861153141888897,0.2522907608758532,6,0.004854561413982495,430
99,0 days 00:00:09.005113,0.0016706479799205515,0.47548207983603136,5,0.0016303044162541771,307
