number,duration,params_C,params_a,params_b,params_gamma,params_max_iter,params_n_estimators
57,0 days 00:00:31.498670,2.2073407252637276,0.5249420620525388,0.36988970008507394,0.6418491630781975,10,23
58,0 days 00:00:14.321314,0.46103067329512754,0.5531856397499878,0.4622793712457675,0.6188684081527711,10,10
59,0 days 00:00:17.375996,0.0011475049604140763,0.43240479347916383,0.5573096439583554,0.41500055200623265,10,12
60,0 days 00:00:19.764963,0.3312987747686725,0.19968513881644562,0.44486766178908527,0.331256804256008,10,14
61,0 days 00:00:41.834317,3103.457957691057,0.2813926407526555,0.5081505929518441,0.8073249754749826,10,31
62,0 days 00:00:41.269981,1.994640929283276,0.7966667331868097,0.809380087758916,0.8843138880411066,10,31
63,0 days 00:00:16.213297,16.422340259800688,0.24920557347527245,0.23038952830161488,0.8071282317633354,10,11
64,0 days 00:00:35.405728,2.8485421219297637,0.9828771115680813,0.1616468525626262,0.280023835017122,10,26
65,0 days 00:00:33.221262,3522.197929427481,0.14387889550539304,0.6838198021864358,0.2509354049801664,10,24
66,0 days 00:00:30.791111,71.45875322884685,0.8486245465344007,0.22823270723563788,0.7498886227068775,10,23
67,0 days 00:01:01.708391,100.29006994775168,0.26272484008240543,0.34655080985559206,0.5756809174148273,10,46
68,0 days 00:00:24.231727,0.00020954504743513224,0.7286815708757606,0.22318221215436138,0.398220716039027,10,17
69,0 days 00:00:20.086450,0.0009453881206100971,0.61559243479785,0.30479010844502086,0.4841294369737632,10,14
70,0 days 00:00:50.553199,0.00046650361178993935,0.7418909822935861,0.6741574042457221,0.16694461238410707,10,37
71,0 days 00:00:37.374414,139.73164502576822,0.3977554515227443,0.765363466664642,0.8798014849269234,10,26
72,0 days 00:00:50.256286,324.40916052437484,0.9069684147240943,0.9391325378894381,0.7672455678005291,10,37
73,0 days 00:00:22.210061,0.01648844293263014,0.39562702027322183,0.24843333126817374,0.1647238630546649,10,16
74,0 days 00:00:36.477729,115.1935817779958,0.3777491672810426,0.8300281298821727,0.2769625371123774,10,26
75,0 days 00:00:32.174071,79.77964792795662,0.9405940168537045,0.9317148988816245,0.26479902187394366,10,23
76,0 days 00:00:22.580562,0.05133453929776862,0.8755976336564647,0.5412886022387735,0.3633972203292053,10,16
77,0 days 00:01:04.989184,0.0719634836234176,0.9173934268293312,0.930059863599668,0.5234555658187937,10,47
78,0 days 00:00:49.817732,38.42676137472372,0.8677344062274891,0.14364729561278028,0.9946853429684097,10,37
79,0 days 00:00:48.120849,4.162181515554527,0.7525773953887666,0.7404813197581306,0.10849821026114115,10,35
80,0 days 00:00:16.644779,0.00014239549793690126,0.6498398377383697,0.14181927877905495,0.11926610962036932,10,11
81,0 days 00:00:26.314720,514.1709354827397,0.536480053851389,0.3687514838338802,0.49286261552979826,10,19
82,0 days 00:00:55.736342,1.012503698279089,0.9128793012400852,0.95928688852749,0.7505876701800118,10,41
83,0 days 00:00:28.113630,0.31335651423797034,0.549087207740158,0.28070843049723976,0.2935910285702883,10,20
84,0 days 00:01:02.014330,145.3345750724184,0.35179879179482854,0.8590794398020143,0.8003117617729285,10,46
85,0 days 00:00:17.598269,0.0007370001202171179,0.10444188643493557,0.5427072084876512,0.6154396531763184,10,12
86,0 days 00:00:23.877116,0.006486663846456424,0.6797216073895994,0.2746325428617988,0.30216784920224915,10,17
87,0 days 00:00:49.431721,5.214657066355956,0.35520297460043315,0.527768781126752,0.6208728213274027,10,36
88,0 days 00:00:23.938892,107.64317776248525,0.7558143049512672,0.16044972402074778,0.8434970560536642,10,17
89,0 days 00:00:30.411891,0.04251347439003745,0.33230626883127995,0.9663484316266004,0.9792094315159903,10,22
