number,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_lambda
50,0 days 00:01:34.090429,0.003633085878989346,2,0.0015624982594754627,5000,54,1.518505245529268
51,0 days 00:02:04.499284,0.0011932146673544913,7,586.4302079412618,5000,17,115.42401662665307
52,0 days 00:00:25.416867,0.010038584907840091,10,0.026859158648858017,5000,14,111.26996962581912
53,0 days 00:00:20.746248,0.04208505455518939,6,788.8359229756785,5000,71,0.002274095994263099
54,0 days 00:01:58.475323,0.0010862405324153634,13,0.0020797921391792714,5000,34,0.7859246831068191
55,0 days 00:01:20.715864,0.004737348527979337,4,0.038606244059826086,5000,67,257.000532997335
56,0 days 00:00:01.946917,0.19248021482242805,15,0.6937123144493287,5000,13,0.010722666026138071
57,0 days 00:00:12.460182,0.013217312272007056,8,0.0010052550279808091,5000,22,0.04753368126869504
58,0 days 00:00:48.787992,0.0032210632876770295,12,0.03602553543845534,5000,71,20.824546118570293
59,0 days 00:00:08.297100,0.026823760044564153,12,25.981947644133484,5000,18,0.08898530891745214
60,0 days 00:00:28.031874,0.022248957938019842,18,0.019552812134452906,5000,12,757.4470393931932
61,0 days 00:00:01.830522,0.19870980285743226,8,9.705714996098934,5000,22,0.8728012277388388
62,0 days 00:00:42.114931,0.0034928618940137835,4,0.0013593158834514765,5000,16,0.0010826407395831724
63,0 days 00:00:28.378321,0.004873943173789514,7,13.72110361695758,5000,90,0.03916655607720082
64,0 days 00:00:06.244960,0.03099586346609879,19,28.759141138130975,5000,87,0.042817917891839696
65,0 days 00:01:04.887451,0.006238656222139311,8,228.10717325241703,5000,50,554.0201762541823
66,0 days 00:00:59.410541,0.002356658858961333,18,1.234564982770205,5000,74,0.20308681117073613
67,0 days 00:00:26.084838,0.006961113999662561,18,0.0015498770936957897,5000,14,19.93083118095289
68,0 days 00:00:39.678419,0.004736783669184972,3,0.32098616989657436,5000,25,0.10641580371332658
69,0 days 00:01:12.369433,0.0021457211360921494,13,70.67974130227937,5000,18,0.155100293718486
70,0 days 00:00:34.057870,0.009591313527341633,14,0.6814616072031033,5000,34,478.43387961887356
71,0 days 00:02:09.799250,0.0029090475716067833,7,7.996258339695711,5000,12,764.6812462403387
72,0 days 00:00:33.383362,0.004534383632380353,4,0.021909872854914286,5000,62,0.19134963526012783
73,0 days 00:00:07.549913,0.02011092354417313,19,12.222620458266869,5000,75,0.049340629440615194
74,0 days 00:02:48.032198,0.0016411341661381914,13,0.04594379012909791,5000,31,798.0697942667032
75,0 days 00:00:05.637722,0.05356438024633209,17,4.079557469203828,5000,83,22.899663431191343
76,0 days 00:00:01.462849,0.1424665195700883,17,1.2599880335338847,5000,13,0.007476362986712569
77,0 days 00:00:07.000424,0.03013454553679351,19,0.009612345453955482,5000,70,0.0114588455597713
78,0 days 00:00:16.117749,0.028148972326033445,12,7.6346526017432605,5000,28,169.82645195524904
79,0 days 00:00:01.940331,0.1675773187248365,19,0.0026202707265712243,5000,12,3.8291038563750903
80,0 days 00:00:01.869879,0.12332071633732923,13,0.01895184320581644,5000,12,0.05557289707940994
81,0 days 00:00:02.290505,0.1668779173522371,15,0.007184767085280596,5000,95,0.49664502831514445
82,0 days 00:00:11.090026,0.018989036705788456,7,0.016717612906030393,5000,13,1.197529824296791
83,0 days 00:00:19.629450,0.007437480949340931,16,0.6119336390131542,5000,12,0.12869412165862612
84,0 days 00:00:22.722487,0.0086624424363122,11,144.7152773638157,5000,74,0.01917100146028528
85,0 days 00:00:03.740818,0.0543712492443662,8,98.34412999034578,5000,64,3.666086747780956
86,0 days 00:00:31.741483,0.004604080744566072,4,0.25400381478948586,5000,21,0.047545221761612494
87,0 days 00:00:30.009709,0.004807521847837055,4,2.6954892615126944,5000,43,0.013300128801163496
88,0 days 00:00:03.117154,0.07360893769396556,4,0.08642142594954519,5000,39,45.55677216674877
89,0 days 00:00:03.146801,0.11735328044056163,2,0.1515565035934927,5000,11,0.05868840672218313
90,0 days 00:00:25.268542,0.012035948694185951,2,9.10792880974392,5000,10,0.0011359117298293164
91,0 days 00:00:08.574311,0.04397953025322109,16,147.21914048261974,5000,23,416.5975825737656
92,0 days 00:00:03.020007,0.1349929826866334,13,7.722698353422514,5000,31,39.17075386309632
93,0 days 00:00:04.405964,0.056983161196870594,11,166.72005554479568,5000,18,0.002821707362045424
94,0 days 00:00:04.043790,0.04424693413756,6,7.22472924145525,5000,50,15.267398213838344
95,0 days 00:00:02.131604,0.1548842319565492,11,0.001593537230794235,5000,16,0.06290615676328126
96,0 days 00:01:57.956488,0.001967640312517717,4,960.3767177524043,5000,43,0.06377558399279018
97,0 days 00:01:33.169226,0.002268055957132086,10,0.8789628849056734,5000,14,399.0307512125335
