number,duration,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda
28,0 days 00:00:06.843486,0.012556888724548396,4,1879,14,0.059508700473975024,0.00038285904669009443
29,0 days 00:00:06.237181,0.14933485140550345,11,1388,23,0.0001648098619278693,0.0006996982407905916
30,0 days 00:00:11.562087,0.16179933338872415,18,2599,64,0.00018632348667281732,0.0058376377316644934
31,0 days 00:00:05.326984,0.19793938360349697,7,4164,20,0.0029403819171422265,0.002663945853903188
32,0 days 00:00:36.733790,0.021893839362278317,9,4621,96,0.0014798143087732614,0.0007992453366170788
33,0 days 00:00:03.461527,0.11846684237883304,16,403,87,0.05862425572128488,0.00019825567589997723
34,0 days 00:00:10.045112,0.10182658858775234,4,2500,24,0.001636172999263074,0.004151268978638198
35,0 days 00:00:05.670915,0.06947669073399865,16,892,16,0.002327670334493992,0.00247980823587859
36,0 days 00:00:04.661702,0.010567856605877848,18,611,18,0.007988039533396564,0.009210268038938135
37,0 days 00:00:46.992941,0.02065406701579598,15,4061,32,0.0010144004125196696,0.017458554520768617
38,0 days 00:00:01.634520,0.12518227942352586,5,312,51,0.005276716614181012,0.0048082120255919115
39,0 days 00:00:01.894771,0.18917102506304384,3,730,12,0.0006838307625932616,0.0002495076215251955
40,0 days 00:00:03.778601,0.011542940674058422,11,379,23,0.012808391306628168,0.015819348485992746
41,0 days 00:00:24.234248,0.012044317389473232,8,2738,32,0.032000837725730605,0.0004561897509956014
42,0 days 00:00:00.364858,0.19111538024711228,2,259,43,0.0019472016989978253,0.006322600031224888
43,0 days 00:00:02.866029,0.01143428097132507,6,436,55,0.0008771246298956296,0.0011256701762948247
44,0 days 00:00:04.053331,0.04727992481156567,4,1096,50,0.06733786630357902,0.0038225477593597655
45,0 days 00:00:06.892464,0.02182724889296723,7,1480,13,0.000663965143160786,0.0020027787210492843
46,0 days 00:00:20.001904,0.020773607468911538,11,1772,41,0.0022829328822536335,0.05352371887581666
47,0 days 00:00:05.490905,0.037720212207469475,4,1556,75,0.0009677104398046451,0.08133540541911885
48,0 days 00:00:10.673581,0.02725139930067252,19,1047,22,0.014899660107896305,0.0005628774852572408
49,0 days 00:00:03.836155,0.07842499473535058,17,936,10,0.001338445251987636,0.00011247780412908493
50,0 days 00:00:05.954485,0.0747437465459456,8,2200,13,0.05440393825932451,0.007152801517936831
51,0 days 00:00:03.213708,0.11630344340976367,3,1297,33,0.08240226735422339,0.00011336924662510904
52,0 days 00:00:05.513914,0.03503207246420956,19,387,41,0.09106454092523161,0.00010839948738025118
53,0 days 00:00:34.991692,0.020231796736424702,11,2882,34,0.002464633385401594,0.0010073293500219374
54,0 days 00:00:33.253377,0.022006997411555936,17,2610,47,0.008374458780561086,0.0506652612525057
55,0 days 00:00:03.837239,0.016330991278021494,4,836,13,0.050676342849522125,0.044647587451392454
56,0 days 00:00:00.440441,0.08566226920330862,2,311,56,0.0006276530762298219,0.001751222353935606
57,0 days 00:00:50.809154,0.010933253095794775,18,4155,36,0.00040670806703310827,0.0006033979263327765
58,0 days 00:00:00.494725,0.10788108324394181,2,342,69,0.00045279693857362116,0.0007017825985596761
59,0 days 00:00:18.103302,0.018629075312301957,18,2141,18,0.00044820767707254815,0.018312082564013166
60,0 days 00:00:03.247783,0.01309221895519796,4,738,16,0.00013792494391449116,0.003999244690769102
61,0 days 00:00:09.863513,0.026330008070617104,9,1054,58,0.00016916289630487262,0.02950357254088358
62,0 days 00:00:22.753057,0.021244201845310975,9,2235,27,0.0007399960807624628,0.007238833232627083
63,0 days 00:00:06.412977,0.029413111230090803,14,448,76,0.00012656469297503303,0.0011197714563128329
64,0 days 00:00:04.683604,0.1796262907782314,18,4657,18,0.03935315316351501,0.01585942883239374
65,0 days 00:00:01.746094,0.18271410331315627,3,798,38,0.0006991860171026419,0.010220748132264104
66,0 days 00:00:07.658514,0.09953611449345903,13,3135,86,0.033627107239555074,0.0038730906925271247
