number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
153,0 days 00:04:15.825039,0.08437172566245014,0.0026278290384837157,14,0.03675945469835845,0.060301432799378725,5000,14,0.6339455250465854
154,0 days 00:01:56.116290,0.10420796642075911,0.018531788814850278,4,3.8778087001507378,0.010008180572318214,5000,26,10.473201635690016
155,0 days 00:04:48.903973,0.05925734981497259,0.001641375914639292,7,0.04293946766603828,0.00139077384410745,5000,95,0.06514191513833216
156,0 days 00:00:24.375267,0.29889901664303786,0.07437284422097797,12,0.014373458285339752,0.004271020570280193,5000,25,146.37801283696302
157,0 days 00:00:31.206662,0.0012712310398927918,0.04223937122432893,13,0.05135093382773772,0.04200052630365603,5000,21,0.0014931322195543167
158,0 days 00:00:10.790637,0.004255812795324591,0.18497429385044745,17,0.016261846191666332,0.01928914696923367,5000,75,26.903911651740298
159,0 days 00:04:09.541943,0.03536684640737062,0.003800156399457489,7,0.2842906368203387,0.0011510083934516524,5000,40,0.001715915666287962
160,0 days 00:04:21.785150,0.011690701965465483,0.0032524581553113464,12,0.012745035318041944,0.012649527048776175,5000,19,143.5226091307009
161,0 days 00:02:29.922862,0.023926174031539838,0.0038335392787439,15,3.8648406836187403,0.1635040163411488,5000,66,0.00869281181163513
162,0 days 00:00:38.407794,0.48240059448200084,0.030084987513284894,17,0.003082748646297013,0.06477347613813877,5000,20,2.724203115825674
163,0 days 00:01:17.236673,0.018346599304757766,0.1922990557281759,2,0.005067803917317438,0.016592296565814995,5000,91,32.87162464640024
164,0 days 00:04:22.733760,0.2836552032854991,0.004449491872876015,15,0.05613695674176328,0.08674535413522495,5000,20,11.362693824067767
165,0 days 00:01:00.921680,0.004741960349625549,0.04269897712365125,14,0.0772969444150069,0.001247777748045913,5000,86,145.6953704847191
166,0 days 00:00:33.119534,0.0014027034737581071,0.060764473620382016,6,0.106634338857342,0.006258444917892837,5000,92,7.334252403816577
167,0 days 00:04:13.529183,0.00873993558601108,0.0031338387468651347,6,9.703763726539659,0.0049561842497501864,5000,16,828.6027679247304
168,0 days 00:01:07.905077,0.03270266912999252,0.061969993288336245,9,835.3481113728543,0.15688889236838985,5000,10,498.70654231745544
169,0 days 00:01:29.750052,0.1433825565244083,0.1941790884034437,2,0.3826291480078438,0.023029604303616984,5000,11,196.39220510709043
170,0 days 00:04:56.231014,0.002445214553523007,0.001366356288724824,18,0.06023042803750306,0.01732440081467513,5000,60,0.0024026588348821684
171,0 days 00:01:36.769295,0.003430916176359013,0.012023732619162819,19,154.1999707643563,0.0013335148685001625,5000,36,0.001583065943980715
172,0 days 00:04:11.968106,0.006231600924690016,0.010512425076431898,10,54.372640267025005,0.016376446047129144,5000,12,114.7558493828469
173,0 days 00:00:27.883234,0.015026358800749696,0.04654881250131686,11,16.241906770186866,0.04417837902335327,5000,42,0.002608155221057622
174,0 days 00:04:00.547697,0.0024911899097236636,0.007669103038284766,2,379.7450780730887,0.034685491694224795,5000,26,1.6367926805608792
175,0 days 00:02:04.713579,0.04918762381110689,0.04258442920606753,2,7.087270277356367,0.1522021934485949,5000,18,0.47711124680001765
176,0 days 00:00:26.859543,0.016624629140024903,0.14299012794408245,5,27.568452650981147,0.054058428736951124,5000,16,10.961162973570078
177,0 days 00:00:20.718538,0.007300749573348352,0.052305018374695304,19,0.0014857432981592801,0.027804159871571126,5000,24,2.690629302283277
178,0 days 00:04:09.337157,0.0017160810352446947,0.001004836444704424,12,6.677035094944518,0.0021006407967263958,5000,11,657.2214241678167
179,0 days 00:00:21.227579,0.001987598222131428,0.12612926242496939,12,2.200438369789084,0.006347452361682852,5000,20,36.192075328159405
180,0 days 00:00:08.621486,0.8438040300609715,0.18900197437562852,6,0.0010288466176898768,0.009283134715303124,5000,13,0.002175042007938697
181,0 days 00:03:21.063484,0.18367438097970498,0.035546172084000696,3,0.001014528038307453,0.0274373000816102,5000,83,196.3517489263448
182,0 days 00:00:15.457146,0.04240920660397078,0.09102070710660705,6,1.843994671873538,0.007306331906441028,5000,85,0.04745892989172099
183,0 days 00:01:32.343389,0.0592048350513535,0.019513882037228217,10,0.8675131936065241,0.025083372582096544,5000,10,0.11174796164506828
184,0 days 00:00:45.431717,0.006213939717925433,0.13225683042351136,6,0.028889224522172977,0.007930889818135077,5000,52,184.36289840116413
185,0 days 00:00:32.581093,0.004002115195103782,0.05229560597740119,16,0.07486178289691407,0.0010453415147932087,5000,13,0.04495821182607163
186,0 days 00:00:07.857104,0.013199249344553462,0.13798852544244278,13,2.1495181581030756,0.015011301553871688,5000,91,4.651740712368056
