number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_max_depth,params_multiplier_learning_rate,params_n_estimators
33,0 days 00:00:07.447420,0.039345108333909445,0.24302561139907988,2,0.024984020680349436,707
34,0 days 00:00:10.190084,0.016510552005536985,0.01603521359574231,5,0.4652178854483113,808
35,0 days 00:00:04.897486,0.050529862611031345,0.16648874018325424,6,0.11764320699765193,410
36,0 days 00:00:04.841405,0.0072871239343463125,0.030885698108559352,6,0.013536797731257388,216
37,0 days 00:00:09.789428,0.04653291737092463,0.3332359352470148,6,0.05823478739074997,798
38,0 days 00:00:04.280856,0.17244922842864055,0.01692541590491403,5,0.47190901176447786,323
39,0 days 00:00:07.132112,0.028584848221371993,0.06736829089308319,6,0.03821883482346751,570
40,0 days 00:00:09.012335,0.016660669892147813,0.4035013246189264,6,0.2980670741766061,833
41,0 days 00:00:06.846267,0.3703475875671003,0.29275472906275296,5,0.3299157732709212,641
42,0 days 00:00:06.534343,0.03352255740076026,0.02669806355397108,5,0.006756986414814966,433
43,0 days 00:00:04.004456,0.30166500929870527,0.08427380788720865,5,0.0400951443473316,249
44,0 days 00:00:04.797500,0.029403601623848103,0.07417409728379769,3,0.04393324090799737,418
45,0 days 00:00:05.900456,0.032298962632297,0.15891519427997286,4,0.07766883101182391,523
46,0 days 00:00:07.135400,0.15386112499982665,0.4038689616316834,5,0.005681213847765187,611
47,0 days 00:00:06.445849,0.018079364418131537,0.010431851005557113,4,0.038736145506874375,554
48,0 days 00:00:07.843561,0.04578335757969214,0.012152216852946547,6,0.01657584258908095,380
49,0 days 00:00:05.356580,0.03989341071155975,0.011258936240692475,5,0.09228225849311314,418
50,0 days 00:00:10.496096,0.16186691690556138,0.021671406012684424,4,0.010918153441981134,906
51,0 days 00:00:06.082424,0.45750922349719086,0.0209021306385799,6,0.2693213125755157,407
52,0 days 00:00:03.210268,0.020127793923526368,0.021419979233704225,2,0.43734435250895914,280
53,0 days 00:00:09.339086,0.008359310452974875,0.13367667112937187,4,0.005166005370745167,801
54,0 days 00:00:05.854717,0.053465504221029046,0.17891488030001015,6,0.3168050727968331,528
55,0 days 00:00:03.602830,0.006976093983197604,0.04605925050880656,4,0.26178567290677934,296
56,0 days 00:00:08.957827,0.01006474042658708,0.0326430026043944,6,0.3065410329488042,812
57,0 days 00:00:03.197021,0.006558652921966742,0.4813937900757306,3,0.006570189135377933,255
58,0 days 00:00:09.596802,0.04408391581714373,0.02637771475524531,6,0.015583386613152755,697
59,0 days 00:00:11.007731,0.012220111689059619,0.04996779833413058,6,0.008369300894869734,913
60,0 days 00:00:05.587825,0.03855341804040496,0.4750975342055298,4,0.0077671293409055705,507
61,0 days 00:00:05.652578,0.008303223800772875,0.3117494365234916,5,0.07073219394067976,495
62,0 days 00:00:05.824785,0.06081281777344446,0.3110320941766937,3,0.008003194762538308,520
63,0 days 00:00:09.600790,0.007020945796580841,0.06950301324327118,3,0.0813743121400041,799
64,0 days 00:00:04.370083,0.09843436347217031,0.1481288475551858,6,0.005368613679958294,202
65,0 days 00:00:13.281832,0.25915828546770425,0.018925957379145895,6,0.02927679017726456,928
66,0 days 00:00:10.420896,0.05826512232819176,0.07433631492435398,5,0.010127689997719819,931
67,0 days 00:00:03.335062,0.16201833356473608,0.3137266014925083,4,0.011399644473297367,218
