number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators
52,0 days 00:00:32.162913,0.12479274299682556,0.08349670090661039,2,5301.307973946537,0.22559091143353596,1765
53,0 days 00:00:13.569491,0.6478622717477831,0.07119112572276273,2,401.47799986155735,0.0015970299503722464,710
54,0 days 00:00:15.731218,0.0002282507099070854,0.0019674028256453594,4,105.4034721063008,0.0001968565176093287,695
55,0 days 00:00:02.756423,0.080942581429992,0.013023795930430425,2,309.5525740601859,0.1524589692283889,138
56,0 days 00:00:06.192424,0.006824301548443115,0.008973345735984711,3,325.2963234380854,0.006380509134638262,305
57,0 days 00:00:09.522731,0.0005304004049203238,0.00369009624159703,3,2325.748079967943,0.002542953470122168,492
58,0 days 00:00:08.147544,0.05314183130017303,0.0025893407977914755,2,148.8517554408029,0.13615889034078804,417
59,0 days 00:00:06.327258,0.0006140689254331192,0.0035127221953779,4,559.2761195733688,0.002353820713674216,299
60,0 days 00:00:09.957312,0.33949795106293834,0.009585995608572501,2,7084.787876128756,0.005453309412765794,538
61,0 days 00:00:32.129808,0.00526756323728535,0.01954971762767412,4,1429.176602650749,0.00013514643348102353,1659
62,0 days 00:00:00.903821,0.0020078860649810335,0.01990334447465884,3,208.801764368808,0.009875791500744751,38
63,0 days 00:00:24.239883,0.33741597535358275,0.012235223307481224,2,236.73462536005815,0.004898934617751051,1285
64,0 days 00:00:02.515352,0.0628764794645523,0.0642819119809753,3,2807.600255246686,0.035676467968071175,125
65,0 days 00:00:00.522150,0.00010941219791166094,0.029026500535336418,4,2707.0005775933837,0.06870288920277202,22
66,0 days 00:00:03.186052,0.006743631232960271,0.015204366533520605,3,8285.776339385446,0.14882994899206275,164
67,0 days 00:00:17.025547,0.0004341680428076475,0.0657184689119076,4,1417.4322966901193,0.10389583634850957,876
68,0 days 00:00:29.934376,0.08143017582480445,0.0747296498894606,4,1850.1876571812477,0.004516883531328563,1583
69,0 days 00:00:31.836469,0.00011622886871731438,0.0051373327575207454,2,116.57602779058524,0.002086642688562731,1655
70,0 days 00:00:04.370987,0.0002476920191423216,0.02293719475436864,2,4905.862408176106,0.017919653241887535,236
71,0 days 00:00:01.872757,0.0001356120764818734,0.002920708795823309,3,809.7012203253526,0.01874504632248548,90
72,0 days 00:00:07.591752,0.020922176672939493,0.01227953029123016,2,1062.0616479620692,0.0001318524350634969,398
73,0 days 00:00:00.560473,0.7889052591969908,0.0017020354223619175,3,182.85652510093345,0.019397239504328583,21
74,0 days 00:00:01.779763,0.036315884082811035,0.04602976946082873,3,123.40117187456985,0.09663918598598034,83
75,0 days 00:00:14.781008,0.044670240032572216,0.003773957409323403,3,135.08540037207786,0.0007816282260059017,737
76,0 days 00:00:27.283921,0.005144432998689986,0.0510364237969771,3,1852.9423720642387,0.006932596354099207,1428
77,0 days 00:00:03.046982,0.003891651718742361,0.08665748530822981,3,2995.3885231883614,0.00220456343287574,156
78,0 days 00:00:29.095568,0.06145630813263572,0.003269391814399381,3,790.98246411336,0.0025829623500569538,1498
79,0 days 00:00:37.865152,0.636517640490697,0.003153843087105437,3,391.84339457363774,0.000246458437145443,1927
80,0 days 00:00:02.311760,0.033458168676058456,0.06814814497996674,2,520.2534276752856,0.00026363577240883103,117
81,0 days 00:00:02.548027,0.00048686930630807907,0.03144680409059173,4,572.94613244276,0.0007579522682483812,112
82,0 days 00:00:01.984855,0.0006398392140074263,0.02997648283562147,2,5914.588547359254,0.011330906438397357,101
83,0 days 00:00:27.631065,0.7444958246022837,0.03173435851164124,4,5427.237298503955,0.03869966125268415,1518
84,0 days 00:00:09.941950,0.006166851392920854,0.01673003420407515,2,2605.163143373723,0.030574819294859112,523
85,0 days 00:00:06.900039,0.7433249104250719,0.0058292961319503945,4,183.05376128511173,0.20511882889601463,323
86,0 days 00:00:00.844871,0.020876110818537713,0.0032915817379251815,4,9102.202720993486,0.0006269524575003047,39
87,0 days 00:00:03.538166,0.010555177362195236,0.006359560024605892,3,349.3860293837353,0.0008296099573616067,162
88,0 days 00:00:04.697477,0.49731901692075287,0.031709547590104956,4,557.275214572561,0.0017125139274349276,224
89,0 days 00:00:26.118312,0.01121518998806924,0.004569527567678203,4,217.34657938757582,0.19464685182978247,1270
90,0 days 00:00:08.834641,0.000660229230175588,0.01756988250025176,4,3021.3083519844745,0.04248378955693119,459
91,0 days 00:00:22.284364,0.00013211162424529009,0.01222801907858784,4,2251.567465247698,0.001110957714586585,1146
92,0 days 00:00:03.593478,0.0027835951326116866,0.0011195791306534391,4,397.4541065155415,0.011594874939966505,166
93,0 days 00:00:00.616929,0.0013069885800828746,0.004844198921932302,3,648.4621679966361,0.0200269135180069,22
94,0 days 00:00:00.745542,0.07881182668522892,0.0037979719405477896,4,2408.7262793798363,0.009863178198698015,31
