number,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators
142,0 days 00:00:00.028385,0.0014207003302732384,3,1134.2645059085658,24
143,0 days 00:00:00.093832,0.18913035294097438,6,6318.947833702657,98
144,0 days 00:00:00.655840,0.007860204207828502,3,6.268288769576482,199
145,0 days 00:00:01.034870,0.1544330942502193,9,16.913524448901008,66
146,0 days 00:00:00.122378,0.0017833790576476183,3,329.23039975511585,50
147,0 days 00:00:01.033369,0.004823208945953322,3,3.7944950997615274,264
148,0 days 00:00:00.474635,0.06848913039140492,9,28.78140904325446,37
149,0 days 00:00:00.425826,0.0020534721039968933,9,14.427240541243082,21
150,0 days 00:00:00.392999,0.01520267103777474,4,3.5149724264365543,63
151,0 days 00:00:00.074006,0.03228975198630513,7,442.07545144699475,40
152,0 days 00:00:00.114750,0.1094237426886151,5,1428.2481592783902,105
153,0 days 00:00:00.233425,0.19672704944073335,5,57.13670841488107,45
154,0 days 00:00:00.245907,0.013554386260827974,7,118.31186966306998,57
155,0 days 00:00:00.900089,0.4560680827566021,4,25.842903411900803,201
156,0 days 00:00:01.790789,0.013255438168686321,6,7.455476012895672,118
157,0 days 00:00:00.163967,0.33020902159503,4,16.626340540021612,42
158,0 days 00:00:00.054648,0.032638426316830435,6,198.2156024912088,20
159,0 days 00:00:00.194121,0.0010368858498634513,7,291.6537680920908,81
160,0 days 00:00:01.125705,0.036050223291152934,4,2.4662246817041087,224
161,0 days 00:00:00.040070,0.3038239581046382,9,2578.76400666105,34
162,0 days 00:00:00.205998,0.17297405490275178,3,5.825361444713648,71
163,0 days 00:00:00.360686,0.041472981189037125,8,351.6041034598247,248
164,0 days 00:00:00.048589,0.026938577122336098,2,94.8454839801759,30
165,0 days 00:00:00.555974,0.15858409044074628,9,9.552377026632072,53
166,0 days 00:00:00.096794,0.029804254306468218,3,978.5454393666718,104
167,0 days 00:00:00.051629,0.09157110675186636,2,3812.939350283117,64
168,0 days 00:00:00.074405,0.009138170536423955,8,4306.073464370657,106
169,0 days 00:00:00.235964,0.006678861276603733,2,39.330468090093106,128
170,0 days 00:00:00.205508,0.03061398087756446,2,8.771292091112858,95
171,0 days 00:00:00.241586,0.0024901830661815884,5,8068.91693804662,240
172,0 days 00:00:01.084283,0.003104130835511763,4,3.7386547267005676,174
173,0 days 00:00:03.832249,0.0015008641937424832,8,37.090141845877625,365
174,0 days 00:00:00.038868,0.016700984760060676,9,918.5529436942631,31
175,0 days 00:00:00.221911,0.06907750217866761,2,1256.2305483392977,208
176,0 days 00:00:00.144772,0.14603634619687708,3,1.472202155901005,27
177,0 days 00:00:00.884197,0.03302372670573645,7,41.42957391846043,102
178,0 days 00:00:00.316842,0.08067111859951007,4,1.877307583289202,50
179,0 days 00:00:00.660920,0.009525885152760025,9,9.81088824151852,42
180,0 days 00:00:00.190904,0.010262313588925492,9,2282.0359019971456,229
181,0 days 00:00:00.058044,0.013444674743958865,2,297.11511083969845,32
182,0 days 00:00:00.225242,0.04470695141636894,5,9288.82856252614,341
183,0 days 00:00:00.332937,0.00574027845451127,5,1.5097413658063559,27
184,0 days 00:00:00.665749,0.004800887854320871,8,77.73739930272195,120
185,0 days 00:00:00.214595,0.002612849151970024,9,149.88440836244172,60
186,0 days 00:00:01.051957,0.17096144016187148,7,204.40849278940897,389
