number,duration,params_learning_rate,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_lambda
55,0 days 00:00:06.089629,0.030894981744433857,0.003606879258223233,461,28,35.702667762120804
56,0 days 00:00:00.100360,0.09136838554839016,2.3969041141070817,22,5,13.025012667341281
57,0 days 00:00:00.287303,0.013918784608248125,0.0016070761991486785,23,43,5.983416954779313
58,0 days 00:00:00.761505,0.2181050279125718,13.094244682014581,43,31,0.16539371035113032
59,0 days 00:00:00.459695,0.2898990659809638,9.25966729769625,31,27,9.737781006028177
60,0 days 00:00:00.945927,0.04683430332286257,0.1000588837584768,106,16,1.9064270505083392
61,0 days 00:00:01.414059,0.1551731346547383,0.009799939355491583,96,32,0.002864015006326139
62,0 days 00:00:00.311895,0.019766883469129953,0.28871387562863277,22,28,3.6413920799293615
63,0 days 00:00:00.277774,0.010530970347301206,0.004518996480499894,20,18,20.993434168831456
64,0 days 00:00:00.087499,0.027293980090952,263.9660553217552,48,23,0.01961878165035361
65,0 days 00:00:00.882165,0.07949750064621305,218.77733484186015,397,32,4.365673950385612
66,0 days 00:00:00.475751,0.015861627170389466,85.69564096476687,150,63,65.87341483131408
67,0 days 00:00:01.927286,0.04047334167373702,0.1311745664589976,292,13,0.015343283027655653
68,0 days 00:00:01.781309,0.48120152637633984,0.009868487454518245,100,52,38.610703379865384
69,0 days 00:00:00.159481,0.0680421187484905,0.0231063484127977,69,5,0.009318544447640827
70,0 days 00:00:02.736202,0.20592514610727172,0.05032948582301671,112,47,0.10726506861336621
71,0 days 00:00:00.347363,0.04999929695733726,139.165858062304,127,61,1.6713216495823409
72,0 days 00:00:00.062244,0.21409455173320716,216.4614188416438,23,31,0.11775261290366397
73,0 days 00:00:03.292146,0.046754403692618275,0.17364830461144898,141,54,0.269139425226385
74,0 days 00:00:00.032046,0.03599283950270399,995.1706579853758,28,6,0.293357543781888
75,0 days 00:00:02.333695,0.021488785877104788,0.09185394648915982,155,30,0.07314470028374605
76,0 days 00:00:10.430475,0.49656638866526426,2.463697134641204,429,56,0.017650055230703458
77,0 days 00:00:00.121404,0.017201964085604222,178.06839343368213,41,45,0.35688424974073835
78,0 days 00:00:00.290368,0.16115529229687212,820.6600654021685,320,9,4.324441653743998
79,0 days 00:00:00.378693,0.3802691116143851,614.8641099918822,450,52,0.5592101655347189
80,0 days 00:00:00.456852,0.14579450844784023,1.4174013355830555,49,49,161.7678663728562
81,0 days 00:00:00.058408,0.32131316913471086,10.8885305952844,26,3,0.02921684202983184
82,0 days 00:00:00.455383,0.014465610742072657,0.009650567818439947,58,15,0.39914486769250906
83,0 days 00:00:00.713631,0.2573727687658041,0.47629753700197325,43,54,12.155378882329671
84,0 days 00:00:01.192502,0.3652470876438008,0.0014842241130813272,66,48,4.266449491975975
85,0 days 00:00:00.153975,0.07715740471931709,33.20949915905757,47,45,344.3984724792812
86,0 days 00:00:10.753683,0.013128352375971106,0.006183971497948556,481,55,0.011815133185947943
87,0 days 00:00:01.827668,0.3828411399289513,0.0011835879030363899,87,46,0.8073635214501539
88,0 days 00:00:08.517646,0.013845074452978936,2.31223180201314,485,52,19.49679786331654
89,0 days 00:00:00.193919,0.030590592547008747,22.107971733057557,21,56,0.002042182345140487
90,0 days 00:00:01.351841,0.4104548786383969,0.0011789270170141604,415,7,15.67625718352829
91,0 days 00:00:03.800559,0.34589099423377373,0.06192186988258299,320,37,112.50418089795242
92,0 days 00:00:03.850419,0.21422757014342192,0.06441715827015813,426,39,291.34680314873447
93,0 days 00:00:00.748757,0.23766159355237543,0.02650624773955078,98,17,24.523596819338472
94,0 days 00:00:00.290124,0.02281067728905153,0.0022988868930392766,63,50,100.35093057105587
95,0 days 00:00:10.493653,0.06617475551093521,0.16584068993684434,407,60,2.3142176414377778
96,0 days 00:00:00.937764,0.36535151522540943,0.06698735398568878,61,58,0.00854824812524301
97,0 days 00:00:06.209080,0.1515154630850493,7.894897253199813,471,27,20.50052811291318
98,0 days 00:00:01.876378,0.054805352666857696,0.43976847803835284,94,45,0.0021263522689270505
99,0 days 00:00:00.723982,0.11801097245081642,0.8724447524376991,35,55,0.05907054836300623
100,0 days 00:00:00.779629,0.08196460919875666,0.015738448464969707,54,61,18.926231404430485
101,0 days 00:00:00.050537,0.35969136765995574,15.404188536474116,45,2,0.05099448462801988
102,0 days 00:00:00.463629,0.02889542941903833,11.667134610613632,98,55,746.2927688169706
103,0 days 00:00:01.389875,0.09474171205568906,0.016568804486321937,171,19,179.09490193859
104,0 days 00:00:01.120796,0.43507144868621644,64.40154004890817,221,13,0.0014595489908312967
105,0 days 00:00:00.060004,0.049779432802577156,648.2568777773756,57,27,3.32809422167762
106,0 days 00:00:00.166978,0.05150973393902121,1.5891990655055526,37,28,702.8899069169371
107,0 days 00:00:01.997715,0.06594448201295365,0.012128598362512184,231,24,4.393453828603783
108,0 days 00:00:00.166656,0.035510973837689384,73.80663638517457,38,10,0.0024902638114817524
109,0 days 00:00:00.122667,0.10123181719730685,10.329243271778461,60,4,15.292658966210983
110,0 days 00:00:00.299660,0.21850462160582548,15.089218679029827,151,4,7.621170177734477
111,0 days 00:00:00.481714,0.07519295959586535,201.2366096939948,217,37,0.0080629734583332
112,0 days 00:00:01.308731,0.027789613703521832,0.026435500937532136,205,50,173.12142154232478
113,0 days 00:00:02.078541,0.06444153226612362,0.0017070530654324277,185,35,0.002702724162536605
114,0 days 00:00:00.313946,0.18111553333380698,128.56785421599253,74,22,0.2691163627259696
115,0 days 00:00:03.796964,0.38813573370182425,0.001788289503598771,394,26,222.26410347389552
