number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
42,0 days 00:00:09.499798,0.13890240293413975,0.031638368742348856,357.30486086774596,0.014945861017207017,36,3,0.003483658545019501
43,0 days 00:00:52.511969,0.06930599061831684,0.01296093308252216,0.003678328784056689,0.08160019155955955,209,42,299.4464662291366
44,0 days 00:00:46.149337,0.008573748645672435,0.018395914184371715,205.47550546563613,0.4397477386991483,227,38,0.004764510483183935
45,0 days 00:00:57.971527,0.008728549586211639,0.19815333924200074,655.1623180082663,0.11185406890697312,329,7,385.88631318873297
46,0 days 00:00:34.862301,0.041960982529546546,0.12556282394970886,3.2089921689517507,0.008067675310568609,175,54,0.06380694694424234
47,0 days 00:00:40.783838,0.021294309710213854,0.1550443472514244,0.02417673718822301,0.09602837174904805,241,59,2.153573750571138
48,0 days 00:00:13.041416,0.12566013171253562,0.012733272210296269,451.0672808974432,0.4329401303400263,31,50,115.84080310161089
49,0 days 00:00:13.824289,0.21747003429177847,0.022099237353636007,0.06657795112847568,0.3366943933873702,56,13,0.014883452958211984
50,0 days 00:00:32.562098,0.007392788083870277,0.010195659620996993,0.07440191807667262,0.01777089792509946,121,15,36.012212937472114
51,0 days 00:00:35.289145,0.00858646188973421,0.2851697307767744,25.49685759784751,0.008814603584085142,191,10,64.9789543111516
52,0 days 00:01:04.770286,0.11728049569637855,0.41692242567228144,115.25426695550205,0.011777850089443287,388,39,0.09935144562214057
53,0 days 00:00:09.818343,0.14604215701423987,0.36041025427772083,0.020007528394303996,0.2575647279951006,50,7,0.17858535855542024
54,0 days 00:00:07.179041,0.007470913084439578,0.029094375423298832,108.11979215877389,0.012084423240744283,20,26,47.951053009256235
55,0 days 00:00:11.075816,0.4531532422904291,0.13813609829342663,1.6394331383915475,0.05845109150465304,34,48,11.062708102721103
56,0 days 00:00:07.473481,0.04631153918910975,0.040445888149963284,0.14434058200173935,0.04664087687547754,20,45,0.0022824189091783264
57,0 days 00:01:02.907783,0.3764521257515655,0.1424922887751462,0.04705428710735313,0.012425029770222088,363,29,49.19607054600569
58,0 days 00:00:12.971110,0.30042644065847435,0.020999609846778754,1.7792390129046094,0.022720182063993843,28,59,30.878507424953316
59,0 days 00:00:26.790284,0.1400215672860404,0.02507527862019973,70.54346151555418,0.0457106948421481,99,36,0.7607676527967246
60,0 days 00:00:09.398671,0.40388858488286167,0.26042101100568354,0.012984073243582535,0.009974287467962778,22,42,991.0334065768374
61,0 days 00:00:23.410429,0.05034277222691612,0.1529840844119264,0.7606894443475426,0.01375267107224766,105,23,547.8734828045938
62,0 days 00:00:58.456496,0.091503033011933,0.010315842950125364,0.0013985566932683466,0.034719422408897124,232,30,21.98144818205345
